"ID","Gender","City_Code","City_Category","Employer_Category1","Employer_Category2","Monthly_Income","Customer_Existing_Primary_Bank_Code","Primary_Bank_Type","Contacted","Source","Source_Category","Existing_EMI","Var1","DOBDay","DOBMonth","DOBYear","Lead_Creation_DateDay","Lead_Creation_DateMonth","LeadCreationDOW","Age"
"APPE40974536227","Female","C10003","A","B","4",1600,"B006","P","N","S159","C",0,"0",2,6,93,2,6,"Friday",76.972602739726
"APPH60330147508","Female","C10034","C","A","4",1200,"B007","G","N","S133","B",280,"0",1,9,87,1,9,"Friday",71.2164383561644
"APPN30606238135","Female","C10007","A","B","4",3800,"B004","P","N","S133","E",600,"10",6,11,80,6,11,"Friday",64.3945205479452
"APPQ60782014415","Female","C10001","A","A","4",10000,"B001","P","N","S133","E",200,"10",17,2,85,17,2,"Friday",68.6794520547945
"APPU80930365832","Female","C10030","B","A","4",1300,"B020","G","N","S133","B",600,"0",11,9,93,11,9,"Friday",77.2493150684931
"APPV80124518928","Female","C10509","C","A","4",900,"","","N","S133","E",0,"0",12,4,94,12,4,"Friday",77.8328767123288
"APPW90476067036","Female","C10005","A","A","4",1000,"B001","P","N","S133","E",200,"0",24,4,70,24,4,"Friday",53.8493150684931
"APPA60775566448","Female","C10017","B","C","4",3400,"B006","P","N","S133","B",1700,"0",8,9,84,8,9,"Friday",68.2356164383562
"APPJ10885387332","Female","C10003","A","C","1",6500,"B001","P","N","S133","B",0,"10",22,10,85,22,10,"Friday",69.3561643835616
"APPP70407207923","Female","C10003","A","B","4",4620,"B002","P","N","S133","B",2800,"0",4,9,91,4,9,"Saturday",75.2246575342466
"APPZ30260508907","Female","C10002","A","A","4",2480,"B006","P","N","S133","B",0,"4",12,4,94,12,4,"Saturday",77.8301369863014
"APPA50518171015","Female","C10003","A","C","4",5500,"B001","P","N","S143","B",2380,"0",5,6,84,5,6,"Saturday",67.972602739726
"APPB40882474103","Female","C10127","C","B","4",1902.4,"B001","P","N","S122","B",997.2,"0",8,3,86,8,3,"Saturday",69.7287671232877
"APPJ80439618906","Female","C10124","C","C","4",1500,"B003","G","N","S122","B",300,"0",18,6,96,18,6,"Saturday",80.0164383561644
"APPK30634359001","Female","C10004","A","C","1",1250,"B002","P","N","S122","C",0,"0",14,7,91,14,7,"Saturday",75.0821917808219
"APPM70985326241","Female","C10001","A","A","4",1500,"","","N","S133","E",700,"0",25,11,91,25,11,"Saturday",75.4493150684931
"APPO10519239445","Female","C10001","A","C","4",2400,"B008","G","N","S133","B",0,"4",2,7,80,2,7,"Saturday",64.0438356164384
"APPR30764178704","Female","C10589","C","A","4",2000,"B003","G","N","S133","B",1500,"0",1,9,87,1,9,"Saturday",71.213698630137
"APPS60446465843","Female","C10082","C","A","4",10000,"B010","G","N","S133","B",0,"0",1,8,54,1,8,"Saturday",38.1068493150685
"APPX70050373318","Female","C10006","A","A","4",1220,"B004","P","N","S133","F",0,"0",19,1,91,19,1,"Saturday",74.6
"APPZ80848953507","Female","C10003","A","A","4",4000,"B038","P","N","S133","B",0,"10",10,8,93,10,8,"Saturday",77.158904109589
"APPH70673564343","Female","C10003","A","A","4",1500,"","","N","S133","B",0,"0",2,8,81,2,8,"Saturday",65.1287671232877
"APPK80886344639","Female","C10002","A","B","4",2100,"B001","P","N","S133","B",0,"4",3,5,90,3,5,"Saturday",73.8849315068493
"APPN50560289924","Female","C10002","A","B","4",4700,"B002","P","N","S122","B",0,"10",25,4,90,25,4,"Saturday",73.8630136986301
"APPP60583131103","Female","C10003","A","C","4",7000,"B004","P","N","S133","B",4541.2,"0",1,9,77,1,9,"Saturday",61.2082191780822
"APPS10305693407","Female","C10005","A","B","3",1750,"B002","P","N","S133","C",0,"0",7,7,86,7,7,"Saturday",70.0602739726027
"APPE50963262622","Female","C10002","A","C","4",2800,"B002","P","N","S133","B",0,"10",4,7,90,4,7,"Saturday",74.0547945205479
"APPI90021288035","Female","C10004","A","A","4",1380,"B003","G","N","S133","F",0,"0",20,10,96,20,10,"Saturday",80.3561643835616
"APPJ80748148121","Female","C10002","A","C","4",1500,"B030","P","N","S133","C",0,"0",23,9,91,23,9,"Saturday",75.2767123287671
"APPN80617857512","Female","C10004","A","B","4",1200,"B001","P","N","S133","C",0,"0",7,6,94,7,6,"Sunday",77.9808219178082
"APPO50383745617","Female","C10005","A","C","3",1450,"B002","P","N","S159","C",0,"0",11,3,87,11,3,"Sunday",70.7342465753425
"APPP60172178734","Female","C10016","B","A","4",819.3,"B001","P","N","S133","C",0,"0",2,8,86,2,8,"Sunday",70.1287671232877
"APPY50250927615","Female","C10004","A","B","4",1600,"B013","G","N","S133","B",0,"0",4,12,61,4,12,"Sunday",45.4520547945205
"APPD90858748146","Female","C10005","A","A","4",1600,"B002","P","N","S122","F",0,"0",19,10,90,19,10,"Sunday",74.345205479452
"APPI50441679612","Female","C10004","A","B","4",1550,"B003","G","N","S144","B",0,"0",10,8,87,10,8,"Sunday",71.1506849315068
"APPL80614874904","Female","C10002","A","B","4",1490,"","","N","S122","B",0,"0",13,8,91,13,8,"Sunday",75.1616438356164
"APPQ40631778427","Female","C10129","C","B","3",1100,"B001","P","N","S122","B",0,"0",28,11,93,28,11,"Sunday",77.4575342465753
"APPT70349004743","Female","C10031","C","C","4",3000,"B002","P","N","S133","B",0,"7",21,1,93,21,1,"Sunday",76.6054794520548
"APPW20622431049","Female","C10018","C","A","4",700,"B007","G","N","S133","B",0,"0",1,9,81,1,9,"Sunday",65.2082191780822
"APPB80692747529","Female","C10003","A","A","4",8000,"B004","P","N","S133","B",4000,"0",3,6,67,3,6,"Sunday",50.9506849315068
"APPC30041629643","Female","C10021","B","B","4",1000,"B004","P","N","S133","C",0,"0",14,9,91,14,9,"Sunday",75.2493150684931
"APPE10332383835","Female","C10008","A","B","4",660,"","","N","S122","B",200,"0",31,7,90,31,7,"Monday",74.1232876712329
"APPI70312298206","Female","C10005","A","B","4",1200,"B005","P","N","S143","C",0,"0",6,6,94,6,6,"Monday",77.9753424657534
"APPL60294817522","Female","C10006","A","C","4",1300,"B007","G","N","S159","C",0,"0",3,6,92,3,6,"Monday",75.9671232876712
"APPR90083345128","Female","C10006","A","B","4",4000,"B001","P","N","S143","B",2000,"0",22,12,86,22,12,"Monday",70.5150684931507
"APPS40024724225","Female","C10002","A","A","4",1050,"B009","G","N","S133","F",0,"0",31,8,84,31,8,"Monday",68.2054794520548
"APPC40216184236","Female","C10164","C","C","4",3700,"B002","P","N","S133","B",0,"7",8,8,94,8,8,"Monday",78.1479452054794
"APPF10464165547","Female","C10001","A","B","4",1500,"B002","P","N","S156","B",0,"0",8,3,93,8,3,"Monday",76.7287671232877
"APPG20162638632","Female","C10003","A","B","4",6150,"B002","P","N","S133","B",3300,"0",12,3,75,12,3,"Monday",58.7260273972603
"APPK10401968049","Female","C10007","A","C","4",2500,"B013","G","N","S133","B",500,"0",7,11,52,7,11,"Monday",36.3698630136986
"APPL80146029119","Female","C10002","A","A","4",1650,"B005","P","N","S159","B",0,"0",9,9,84,9,9,"Monday",68.2301369863014
"APPM80613619234","Female","C10063","C","A","4",2100,"B003","G","N","S133","B",1100,"0",9,3,81,9,3,"Monday",64.7232876712329
"APPN70433746315","Female","C10233","C","A","4",1100,"B026","P","N","S133","B",0,"0",18,7,88,18,7,"Monday",72.0876712328767
"APPT30401057907","Female","C10003","A","C","4",711.2,"B007","G","N","S133","C",0,"0",29,6,87,29,6,"Monday",71.0328767123288
"APPU40338646029","Female","C10001","A","C","4",2200,"B003","G","N","S133","B",1000,"0",14,10,87,14,10,"Monday",71.3260273972603
"APPX40611544343","Female","C10003","A","C","2",1500,"B007","G","N","S122","B",0,"0",10,12,83,10,12,"Monday",67.4794520547945
"APPZ50667726527","Female","C10005","A","B","4",3845,"B001","P","N","S133","E",1971.5,"0",27,7,90,27,7,"Monday",74.1123287671233
"APPB10846839717","Female","C10001","A","B","4",1500,"B003","G","N","S133","C",0,"0",8,12,87,8,12,"Monday",71.4767123287671
"APPD70004475949","Female","C10017","B","A","4",1400,"B010","G","N","S133","B",0,"0",1,1,77,1,1,"Monday",60.5369863013699
"APPN30539354908","Female","C10005","A","B","4",1707.6,"B002","P","N","S133","B",460,"0",15,7,90,15,7,"Monday",74.0794520547945
"APPP10295059142","Female","C10005","A","A","4",4500,"B002","P","N","S133","B",0,"10",8,2,84,8,2,"Monday",67.6438356164384
"APPT20436718504","Female","C10009","B","B","4",1050,"B017","G","N","S133","B",200,"0",30,5,93,30,5,"Monday",76.9561643835616
"APPB50601165302","Female","C10001","A","C","4",10000,"B001","P","N","S122","B",0,"10",8,5,87,8,5,"Monday",70.8904109589041
"APPD30922661508","Female","C10072","B","A","4",1100,"B003","G","N","S133","B",0,"0",19,3,85,19,3,"Monday",68.7534246575343
"APPQ40557318821","Female","C10002","A","A","4",2400,"B006","P","N","S133","B",0,"0",12,8,89,12,8,"Monday",73.1561643835616
"APPY20781789607","Female","C10003","A","A","4",950,"B001","P","N","S133","B",200,"0",23,6,91,23,6,"Tuesday",75.0164383561644
"APPF10931767336","Female","C10001","A","A","4",1750,"B002","P","N","S122","B",900,"0",8,11,85,8,11,"Tuesday",69.3917808219178
"APPJ70709397705","Female","C10024","A","A","4",1600,"B008","G","N","S133","C",0,"0",17,10,89,17,10,"Tuesday",73.3342465753425
"APPL20563609928","Female","C10024","A","A","4",1600,"B008","G","N","S133","C",0,"0",17,10,89,17,10,"Tuesday",73.3342465753425
"APPN60526055126","Female","C10002","A","A","4",1000,"B002","P","N","S133","C",0,"0",28,12,97,28,12,"Tuesday",81.5369863013699
"APPO60496324234","Female","C10003","A","A","4",1500,"B050","P","N","S151","B",400,"0",9,11,85,9,11,"Tuesday",69.3945205479452
"APPQ50563508447","Female","C10004","A","C","4",1600,"B002","P","N","S133","E",0,"0",6,1,94,6,1,"Tuesday",77.558904109589
"APPY80579525228","Female","C10001","A","B","4",4000,"B021","P","N","S133","E",0,"10",12,11,87,12,11,"Tuesday",71.4027397260274
"APPD90427937716","Female","C10007","A","B","4",2560,"B011","P","N","S143","B",1200,"0",9,3,89,9,3,"Tuesday",72.7260273972603
"APPE40482289843","Female","C10001","A","A","4",3000,"","","N","S127","B",1450,"0",15,10,80,15,10,"Tuesday",64.3232876712329
"APPJ50706714349","Female","C10007","A","B","4",720,"B014","P","N","S133","C",0,"0",3,2,90,3,2,"Tuesday",73.6328767123288
"APPL60280043529","Female","C10002","A","A","4",4000,"B001","P","N","S122","B",0,"10",21,12,85,21,12,"Tuesday",69.5095890410959
"APPM30351953604","Female","C10001","A","A","4",1200,"B003","G","N","S159","B",0,"0",9,3,90,9,3,"Tuesday",73.7260273972603
"APPN40064845722","Female","C10002","A","A","4",1300,"B005","P","N","S133","B",0,"0",21,8,91,21,8,"Tuesday",75.1780821917808
"APPC20846683233","Female","C10003","A","A","4",700,"B042","G","N","S133","B",200,"0",2,8,73,2,8,"Tuesday",57.1150684931507
"APPD30035557339","Female","C10002","A","A","4",1650,"B002","P","N","S134","B",0,"0",23,5,87,23,5,"Tuesday",70.9287671232877
"APPI60914532813","Female","C10007","A","C","4",6000,"B001","P","N","S122","B",2600,"0",22,12,75,22,12,"Tuesday",59.5041095890411
"APPP10865119541","Female","C10002","A","A","4",3300,"B026","P","N","S143","B",0,"7",6,6,84,6,6,"Tuesday",67.9671232876712
"APPR60514036704","Female","C10002","A","B","4",3500,"B001","P","N","S133","B",900,"10",14,12,89,14,12,"Tuesday",73.4931506849315
"APPS30033507847","Female","C10001","A","A","4",1350,"B001","P","N","S122","B",0,"0",16,9,95,16,9,"Tuesday",79.2520547945205
"APPW70561238232","Female","C10004","A","B","4",1300,"B002","P","N","S159","C",0,"0",15,3,89,15,3,"Tuesday",72.7424657534247
"APPB60274853705","Female","C10002","A","B","4",2350,"B001","P","N","S133","B",850,"0",2,8,88,2,8,"Tuesday",72.1260273972603
"APPF20010751138","Female","C10021","B","A","4",1400,"B003","G","N","S122","F",0,"0",19,8,91,19,8,"Tuesday",75.172602739726
"APPL20765168747","Female","C10005","A","A","4",850,"B004","P","N","S122","F",0,"0",10,6,95,10,6,"Tuesday",78.9835616438356
"APPP30921307109","Female","C10002","A","C","3",1500,"B021","P","N","S133","C",0,"0",17,2,92,17,2,"Tuesday",75.6712328767123
"APPQ30597277245","Female","C10001","A","C","2",1750,"B021","P","N","S134","B",0,"0",17,5,89,17,5,"Tuesday",72.9150684931507
"APPS30996555403","Female","C10002","A","A","4",6040,"B002","P","N","S122","B",970,"10",20,12,87,20,12,"Wednesday",71.5041095890411
"APPV60265399723","Female","C10003","A","","5",125,"B001","P","N","S133","C",0,"0",21,9,93,21,9,"Wednesday",77.2630136986301
"APPX70561392933","Female","C10221","C","A","4",1000,"B004","P","N","S133","B",400,"0",4,7,89,4,7,"Wednesday",73.0438356164384
"APPA90060573227","Female","C10005","A","B","4",1560,"B002","P","N","S133","B",800,"0",31,7,92,31,7,"Wednesday",76.1205479452055
"APPC90770072447","Female","C10012","A","B","2",1000,"B002","P","N","S133","F",0,"0",23,7,92,23,7,"Wednesday",76.0986301369863
"APPE10311022607","Female","C10003","A","B","4",1550,"B007","G","N","S133","C",0,"0",7,12,77,7,12,"Wednesday",61.4630136986301
"APPF60631085717","Female","C10003","A","A","4",1500,"B004","P","N","S133","C",0,"0",30,8,94,30,8,"Wednesday",78.2027397260274
"APPL50238334324","Female","C10002","A","A","4",1300,"B003","G","N","S133","B",0,"0",15,8,88,15,8,"Wednesday",72.158904109589
"APPP10007148712","Female","C10020","A","C","1",1670,"B005","P","N","S133","B",0,"0",29,5,93,29,5,"Wednesday",76.9479452054795
"APPT90977075101","Female","C10001","A","C","1",4500,"B005","P","N","S143","B",1850,"0",5,11,89,5,11,"Wednesday",73.3835616438356
"APPV80263885346","Female","C10001","A","A","4",2221.8,"B004","P","N","S133","B",0,"0",15,6,77,15,6,"Wednesday",60.9835616438356
"APPL80078362905","Female","C10375","C","C","4",2700,"B003","G","N","S134","B",1800,"0",15,7,78,15,7,"Wednesday",62.0657534246575
"APPT70534587715","Female","C10004","A","A","4",1300,"B004","P","N","S143","B",0,"0",26,8,79,26,8,"Wednesday",63.1808219178082
"APPW70434264005","Female","C10011","B","B","2",3800,"B001","P","N","S143","B",2200,"0",31,8,90,31,8,"Wednesday",74.2027397260274
"APPX20729451101","Female","C10001","A","A","4",1300,"B007","G","N","S133","B",0,"0",28,9,88,28,9,"Wednesday",72.2794520547945
"APPI30546095229","Female","C10005","A","A","4",1100,"B001","P","N","S133","B",200,"0",20,9,91,20,9,"Wednesday",75.2575342465753
"APPJ80416595345","Female","C10179","C","C","4",2000,"B001","P","N","S133","E",1000,"0",11,9,88,11,9,"Wednesday",72.2328767123288
"APPN20225869714","Female","C10003","A","A","4",1500,"B003","G","N","S133","B",0,"0",22,8,89,22,8,"Wednesday",73.1780821917808
"APPR60767582147","Female","C10032","C","A","4",1500,"","","N","S133","B",0,"2",13,5,85,13,5,"Wednesday",68.8986301369863
"APPT70410545308","Female","C10007","A","B","4",1200,"B002","P","N","S133","C",0,"0",20,4,87,20,4,"Wednesday",70.8356164383562
"APPX60227485706","Female","C10434","C","A","4",2800,"B003","G","N","S133","B",0,"7",27,6,57,27,6,"Wednesday",41.0027397260274
"APPY90764876839","Female","C10005","A","A","4",1600,"B002","P","N","S133","C",0,"0",8,12,82,8,12,"Wednesday",66.4684931506849
"APPZ20628084928","Female","C10003","A","A","4",1600,"B022","G","N","S143","B",0,"0",9,5,86,9,5,"Wednesday",69.8876712328767
"APPB20703102133","Female","C10044","C","C","4",5700,"B003","G","N","S133","B",2735.7,"0",5,2,78,5,2,"Wednesday",61.627397260274
"APPH40712615721","Female","C10003","A","C","4",1200,"B001","P","N","S133","C",0,"0",7,7,85,7,7,"Wednesday",69.0493150684931
"APPI10123409842","Female","C10004","A","A","4",1500,"B019","G","N","S122","C",0,"0",10,7,88,10,7,"Wednesday",72.0602739726027
"APPW30766041243","Female","C10006","A","B","4",1150,"B006","P","N","S133","B",220,"0",19,11,94,19,11,"Thursday",78.4219178082192
"APPZ50469333546","Female","C10004","A","A","4",1550,"B002","P","N","S134","E",0,"0",8,11,91,8,11,"Thursday",75.3890410958904
"APPC40538253839","Female","C10005","A","C","4",1250,"B049","G","N","S133","C",0,"0",1,4,93,1,4,"Thursday",76.786301369863
"APPL90511325735","Female","C10002","A","C","4",2855,"B002","P","N","S133","B",1700,"0",17,7,86,17,7,"Thursday",70.0739726027397
"APPN40298397941","Female","C10008","A","A","4",5400,"B017","G","N","S133","B",2500,"0",7,9,81,7,9,"Thursday",65.213698630137
"APPO80337469005","Female","C10002","A","A","4",600,"","","N","S133","B",0,"0",24,9,89,24,9,"Thursday",73.2657534246575
"APPT90434682534","Female","C10001","A","A","4",1150,"B004","P","N","S133","B",350,"0",10,9,89,10,9,"Thursday",73.227397260274
"APPU70260393644","Female","C10006","A","B","4",11800,"B001","P","N","S122","B",3000,"10",30,12,82,30,12,"Thursday",66.5260273972603
"APPY80151839018","Female","C10002","A","B","4",10000,"B001","P","N","S133","E",2000,"10",14,9,88,14,9,"Thursday",72.2383561643836
"APPA40955069224","Female","C10002","A","B","1",2900,"B005","P","N","S133","B",1400,"0",19,7,88,19,7,"Thursday",72.0821917808219
"APPC50897719435","Female","C10003","A","A","4",1000,"B003","G","N","S122","B",0,"0",13,4,95,13,4,"Thursday",78.8191780821918
"APPE70565133611","Female","C10034","C","A","4",2250,"B003","G","N","S159","B",1500,"0",29,8,79,29,8,"Thursday",63.186301369863
"APPG50350411819","Female","C10018","C","A","4",865,"B001","P","N","S133","B",0,"0",18,4,83,18,4,"Thursday",66.8246575342466
"APPK20493991213","Female","C10011","B","A","4",1000,"","","N","S133","B",250,"0",25,5,92,25,5,"Thursday",75.9342465753425
"APPN50273626514","Female","C10002","A","B","3",1650,"B002","P","N","S133","E",0,"0",3,12,87,3,12,"Thursday",71.4547945205479
"APPP50812246721","Female","C10164","C","A","4",1500,"","","N","S159","B",385,"2",10,2,81,10,2,"Thursday",64.641095890411
"APPT50959734121","Female","C10001","A","A","1",6450,"B005","P","N","S127","B",2800,"0",15,6,79,15,6,"Thursday",62.9808219178082
"APPU30391605237","Female","C10002","A","B","4",16800,"B001","P","N","S122","B",7500,"0",4,9,86,4,9,"Thursday",70.2082191780822
"APPV10348801322","Female","C10003","A","A","4",2700,"B003","G","N","S133","B",734.4,"7",23,4,86,23,4,"Thursday",69.841095890411
"APPA60880974809","Female","C10004","A","C","4",1300,"B002","P","N","S133","B",400,"0",23,4,88,23,4,"Thursday",71.8438356164384
"APPF20103964341","Female","C10003","A","B","4",10500,"B004","P","N","S143","B",4500,"0",6,8,77,6,8,"Thursday",61.1232876712329
"APPH50862821513","Female","C10024","A","B","4",1700,"B002","P","N","S133","C",0,"0",7,7,83,7,7,"Thursday",67.0438356164384
"APPM50493632023","Female","C10002","A","A","2",4300,"B001","P","N","S133","B",740,"10",4,2,86,4,2,"Thursday",69.627397260274
"APPO30500359204","Female","C10002","A","B","4",2200,"B003","G","N","S133","E",0,"4",10,6,94,10,6,"Thursday",77.9780821917808
"APPW80854596047","Female","C10037","B","A","4",7000,"B001","P","N","S122","B",0,"0",10,8,81,10,8,"Friday",65.1342465753425
"APPX20730045102","Female","C10011","B","B","4",2100,"B001","P","N","S133","B",1145.9,"0",12,1,87,12,1,"Friday",70.5616438356164
"APPY70095057223","Female","C10003","A","B","4",1500,"B038","P","N","S133","B",300,"0",11,8,87,11,8,"Friday",71.1397260273973
"APPD50010786702","Female","C10001","A","B","3",1370,"B004","P","N","S122","B",300,"0",9,4,91,9,4,"Friday",74.8027397260274
"APPE80613844816","Female","C10060","C","A","4",1000,"B003","G","N","S133","B",100,"0",1,5,97,1,5,"Friday",80.8684931506849
"APPL90567985525","Female","C10002","A","B","4",1200,"B006","P","N","S133","E",0,"0",1,8,91,1,8,"Friday",75.1150684931507
"APPM80261604604","Female","C10002","A","B","4",7100,"B006","P","N","S133","E",3000,"0",20,4,88,20,4,"Friday",71.8328767123288
"APPN10895363735","Female","C10280","C","C","1",1200,"B002","P","N","S144","B",100,"0",1,8,76,1,8,"Friday",60.1068493150685
"APPQ70988263029","Female","C10006","A","B","4",1300,"B003","G","N","S133","C",0,"0",8,6,86,8,6,"Friday",69.9643835616438
"APPR10955461104","Female","C10001","A","C","1",1100,"B004","P","N","S122","B",600,"0",17,8,94,17,8,"Friday",78.1616438356164
"APPS30719919248","Female","C10575","C","B","4",1250,"","","N","S144","B",300,"0",15,1,87,15,1,"Friday",70.5698630136986
"APPV40049329532","Female","C10001","A","A","4",2100,"B032","G","N","S134","B",1500,"0",3,3,70,3,3,"Friday",53.6876712328767
"APPX20702505723","Female","C10001","A","A","4",4100,"B002","P","N","S137","B",2050,"0",10,9,80,10,9,"Friday",64.2191780821918
"APPA90796576001","Female","C10006","A","C","4",762.1,"B003","G","N","S122","B",0,"0",2,8,85,2,8,"Friday",69.1150684931507
"APPJ90195613931","Female","C10004","A","C","3",1700,"B004","P","N","S122","B",0,"0",6,4,87,6,4,"Friday",70.7917808219178
"APPM30057411226","Female","C10001","A","A","1",5000,"","","N","S122","D",0,"10",24,6,81,24,6,"Friday",65.0054794520548
"APPQ40936455614","Female","C10006","A","C","4",2500,"B004","P","N","S133","B",1000,"7",10,8,92,10,8,"Friday",76.1424657534247
"APPR20583127717","Female","C10003","A","A","4",1700,"B014","P","N","S133","E",0,"0",5,2,78,5,2,"Friday",61.6219178082192
"APPT90531986944","Female","C10001","A","A","1",5000,"","","N","S122","D",0,"10",24,6,81,24,6,"Friday",65.0054794520548
"APPX30176348336","Female","C10007","A","A","4",500,"B001","P","N","S133","C",0,"0",17,7,96,17,7,"Friday",80.0794520547945
"APPD80257174926","Female","C10001","A","B","4",6000,"B003","G","N","S122","B",2500,"0",19,6,87,19,6,"Friday",70.9945205479452
"APPG50800894218","Female","C10029","C","A","4",2000,"B003","G","N","S133","E",800,"0",5,3,88,5,3,"Friday",71.7068493150685
"APPJ70086622521","Female","C10011","B","A","4",1050,"B028","P","N","S143","C",0,"0",25,7,86,25,7,"Friday",70.0931506849315
"APPN40027149928","Female","C10025","A","A","4",1600,"B003","G","N","S122","F",0,"0",28,5,91,28,5,"Friday",74.9369863013699
"APPT20658552518","Female","C10066","C","C","4",8500,"B004","P","N","S143","E",0,"7",22,10,81,22,10,"Friday",65.3342465753425
"APPU50261418636","Female","C10066","C","A","4",1200,"B001","P","N","S133","B",600,"0",23,8,89,23,8,"Friday",73.1753424657534
"APPC20459579426","Female","C10173","C","A","4",1050,"B002","P","N","S133","B",400,"0",23,9,89,23,9,"Friday",73.2602739726027
"APPE40720565633","Male","C10006","A","","5",5833.3,"","","Y","S122","G",0,"0",29,6,84,29,6,"Friday",68.0219178082192
"APPG80335981838","Female","C10001","A","C","1",1130,"B002","P","N","S133","C",0,"0",11,3,92,11,3,"Friday",75.7260273972603
"APPK80835112207","Female","C10004","A","C","3",1350,"B001","P","N","S143","B",0,"0",16,4,97,16,4,"Saturday",80.8246575342466
"APPM40486124431","Female","C10182","C","A","4",2900,"B003","G","N","S133","B",1400,"0",22,2,75,22,2,"Saturday",58.6630136986301
"APPN40934205501","Female","C10009","B","A","4",1300,"B017","G","N","S133","C",0,"0",5,4,87,5,4,"Saturday",70.786301369863
"APPQ20260307818","Female","C10002","A","A","4",1600,"B010","G","N","S133","B",400,"0",8,3,92,8,3,"Saturday",75.7150684931507
"APPR10617393948","Female","C10006","A","A","4",2000,"B003","G","N","S133","B",924,"0",21,10,87,21,10,"Saturday",71.3315068493151
"APPT20521426122","Female","C10003","A","A","4",1450,"B002","P","N","S133","E",400,"0",12,7,90,12,7,"Saturday",74.0575342465753
"APPB10181429936","Female","C10006","A","B","4",7800,"B001","P","N","S133","B",3700,"0",8,8,87,8,8,"Saturday",71.1287671232877
"APPE40675752239","Female","C10034","C","A","4",4200,"B009","G","N","S122","B",2100,"0",8,11,68,8,11,"Saturday",52.3698630136986
"APPK40122794819","Female","C10061","C","C","4",5900,"B002","P","N","S133","B",350,"0",31,8,86,31,8,"Sunday",70.1890410958904
"APPR40192335533","Female","C10001","A","C","4",15888.8,"B002","P","N","S133","E",7500,"0",4,4,59,4,4,"Saturday",42.7643835616438
"APPV40963963905","Female","C10003","A","C","4",1000,"B042","G","N","S133","C",0,"0",14,10,91,14,10,"Saturday",75.3150684931507
"APPC80117963607","Female","C10410","C","C","4",7000,"B003","G","N","S133","B",3000,"0",1,8,62,1,8,"Saturday",46.0931506849315
"APPO50384656809","Female","C10012","A","A","4",900,"B003","G","N","S133","C",0,"0",5,5,89,5,5,"Sunday",72.8684931506849
"APPP10197677918","Female","C10004","A","B","4",5900,"B004","P","N","S133","B",1300,"10",9,3,80,9,3,"Sunday",63.7068493150685
"APPT90453349315","Female","C10001","A","A","4",7000,"B003","G","N","S122","B",3400,"0",21,7,91,21,7,"Sunday",75.0794520547945
"APPX40003814744","Female","C10066","C","C","1",1050,"B003","G","N","S122","B",700,"0",21,1,86,21,1,"Sunday",69.5808219178082
"APPC30244653244","Female","C10003","A","A","4",1500,"","","N","S133","E",800,"0",5,1,89,5,1,"Sunday",72.5397260273973
"APPF80400365533","Female","C10103","C","A","4",2750,"B001","P","N","S133","B",1200,"0",20,9,73,20,9,"Sunday",57.2356164383562
"APPH90695628721","Female","C10004","A","C","4",1600,"B002","P","N","S133","B",500,"0",7,12,68,7,12,"Sunday",52.4465753424658
"APPR90095208714","Female","C10006","A","B","4",1400,"B002","P","N","S133","C",0,"0",10,11,91,10,11,"Sunday",75.386301369863
"APPS40247522839","Female","C10005","A","B","4",1655.5,"B005","P","N","S133","C",0,"0",23,3,91,23,3,"Sunday",74.7506849315069
