"ID","Gender","City_Code","City_Category","Employer_Category1","Employer_Category2","Monthly_Income","Customer_Existing_Primary_Bank_Code","Primary_Bank_Type","Contacted","Source","Source_Category","Existing_EMI","Loan_Amount","Loan_Period","Var1","DOBDay","DOBMonth","DOBYear","Lead_Creation_DateDay","Lead_Creation_DateMonth","LeadCreationDOW","Age"
"APPF90606858947","Male","C10013","B","C","4",4000,"B004","P","Y","S133","C",0,64000,5,"7",11,6,89,11,6,"Tuesday",72.9835616438356
"APPG20179041024","Male","C10001","A","C","1",13800,"B002","P","Y","S133","B",0,115000,5,"10",11,4,76,11,4,"Tuesday",59.8082191780822
"APPH10099261128","Female","C10004","A","B","4",4500,"B002","P","Y","S133","B",0,80000,5,"10",24,6,87,24,6,"Tuesday",71.0164383561644
"APPO80082812849","Male","C10007","A","A","1",2500,"B006","P","Y","S133","E",0,10000,2,"10",31,5,91,31,5,"Tuesday",74.9534246575342
"APPR70479248144","Male","C10102","C","B","4",5000,"B003","G","Y","S133","E",0,50000,4,"7",8,3,83,8,3,"Tuesday",66.7178082191781
"APPS30106692249","Male","C10011","B","B","2",9000,"B001","P","Y","S122","B",0,50000,4,"10",4,12,82,4,12,"Tuesday",66.4602739726027
"APPW90317034634","Male","C10001","A","B","4",5000,"","","Y","S133","B",0,20000,5,"10",12,12,74,12,12,"Tuesday",58.4767123287671
"APPX10590833748","Male","C10095","C","B","4",2400,"B001","P","Y","S151","B",290.4,20000,4,"4",26,11,87,26,11,"Tuesday",71.441095890411
"APPZ50321995912","Male","C10003","A","C","4",2100,"B004","P","Y","S133","B",0,49000,5,"4",21,3,87,21,3,"Tuesday",70.7561643835616
"APPE60995955439","Male","C10166","C","B","4",1450,"B001","P","Y","S159","B",0,10000,2,"2",13,7,86,13,7,"Tuesday",70.0684931506849
"APPF40348771514","Male","C10006","A","B","4",5500,"B002","P","Y","S133","E",0,20000,1,"10",8,12,87,8,12,"Tuesday",71.4739726027397
"APPG60525674638","Female","C10003","A","C","4",1900,"B001","P","Y","S133","B",0,30000,5,"2",30,10,88,30,10,"Tuesday",72.3698630136986
"APPK80834239033","Male","C10001","A","C","4",2197.5,"B011","P","Y","S133","C",0,34000,5,"4",26,1,84,26,1,"Tuesday",67.6054794520548
"APPL30367787124","Male","C10005","A","A","4",1800,"B003","G","Y","S133","E",250,10000,5,"2",7,7,80,7,7,"Tuesday",64.0493150684931
"APPN60371739317","Female","C10008","A","C","1",3800,"B005","P","Y","S122","F",0,66000,5,"7",13,8,85,13,8,"Tuesday",69.1534246575342
"APPV50034531107","Male","C10002","A","B","4",2262.3,"B004","P","Y","S122","B",0,26000,2,"4",8,8,92,8,8,"Tuesday",76.1452054794521
"APPX20526775327","Male","C10003","A","B","2",3900,"B001","P","Y","S133","B",0,30000,5,"10",14,5,87,14,5,"Tuesday",70.9041095890411
"APPY20169747403","Male","C10007","A","C","1",3500,"B006","P","Y","S122","F",0,59000,5,"10",12,7,86,12,7,"Tuesday",70.0657534246575
"APPA90185538648","Male","C10003","A","C","4",3560,"B001","P","Y","S133","C",0,62000,5,"7",8,9,83,8,9,"Tuesday",67.2219178082192
"APPC50411636801","Male","C10008","A","A","4",8000,"B002","P","Y","S133","E",1000,30000,1,"10",14,3,81,14,3,"Tuesday",64.7342465753425
"APPM20147299813","Male","C10007","A","A","1",3000,"B001","P","Y","S133","B",0,20000,4,"10",26,4,85,26,4,"Tuesday",68.8547945205479
"APPN40249546913","Male","C10005","A","C","4",6200,"B002","P","Y","S133","E",0,150000,4,"10",4,10,88,4,10,"Tuesday",72.2986301369863
"APPU10700307616","Female","C10005","A","A","2",1660,"B001","P","Y","S143","B",0,27000,3,"2",12,2,92,12,2,"Wednesday",75.654794520548
"APPW70585071834","Male","C10003","A","B","4",2400,"B004","P","Y","S133","C",0,38000,5,"4",21,9,93,21,9,"Wednesday",77.2630136986301
"APPY40565011007","Male","C10121","C","C","4",1600,"B008","G","Y","S133","B",120,20000,5,"2",21,5,86,21,5,"Wednesday",69.9205479452055
"APPH30090413902","Male","C10009","B","A","4",2000,"B003","G","Y","S133","B",0,20000,3,"4",20,1,88,20,1,"Wednesday",71.5890410958904
"APPO60090588603","Female","C10003","A","B","4",3000,"B014","P","Y","S133","E",0,18000,4,"10",6,6,81,6,6,"Wednesday",64.9616438356164
"APPZ40286609738","Male","C10009","B","C","4",4800,"B002","P","Y","S133","B",1708.2,20000,5,"10",11,4,70,11,4,"Wednesday",53.8
"APPD40803081115","Male","C10005","A","B","4",1650,"B001","P","Y","S133","E",0,10000,4,"2",15,10,92,15,10,"Wednesday",76.3287671232877
"APPO60098103209","Male","C10073","C","A","4",4000,"B009","G","Y","S127","B",0,80000,5,"7",15,2,88,15,2,"Wednesday",71.6602739726027
"APPS60320313627","Male","C10004","A","A","4",2600,"B004","P","Y","S133","B",500,20000,3,"7",20,5,86,20,5,"Wednesday",69.9178082191781
"APPU90780836829","Male","C10014","B","C","2",2500,"B002","P","Y","S133","E",450,10000,1,"10",17,3,86,17,3,"Wednesday",69.7424657534247
"APPE50142203809","Male","C10078","C","B","4",3640,"B006","P","Y","S134","B",0,50000,5,"7",5,9,75,5,9,"Wednesday",59.2054794520548
"APPQ70050552026","Male","C10006","A","B","4",3000,"B001","P","Y","S133","B",864.4,46000,5,"7",25,8,84,25,8,"Wednesday",68.1835616438356
"APPW10606832628","Male","C10092","C","A","4",4850,"B003","G","Y","S122","B",1710,50000,5,"10",7,9,60,7,9,"Wednesday",44.2027397260274
"APPA80547519048","Male","C10004","A","B","4",4000,"B020","G","Y","S133","B",614.5,30000,3,"10",6,12,81,6,12,"Wednesday",65.4630136986301
"APPD20670011304","Male","C10007","A","A","4",17600,"B003","G","Y","S133","C",0,150000,5,"7",19,6,82,19,6,"Wednesday",65.9972602739726
"APPE60844191408","Male","C10004","A","A","4",2000,"B004","P","Y","S133","C",0,29000,5,"4",24,8,88,24,8,"Wednesday",72.1835616438356
"APPQ80765126647","Male","C10004","A","C","1",2200,"B001","P","Y","S143","B",0,30000,3,"4",27,2,88,27,2,"Wednesday",71.6931506849315
"APPV90997847138","Male","C10004","A","A","4",20000,"B001","P","Y","S127","C",0,120000,5,"7",31,8,80,31,8,"Thursday",64.1945205479452
"APPA50959811611","Female","C10009","B","A","4",1900,"B003","G","Y","S143","B",0,30000,3,"2",23,1,92,23,1,"Thursday",75.5972602739726
"APPD70917584927","Male","C10006","A","B","4",4500,"B001","P","Y","S134","B",0,30000,3,"10",2,3,90,2,3,"Thursday",73.7013698630137
"APPE30737089003","Male","C10567","C","A","4",2150,"B001","P","Y","S143","B",0,34000,3,"4",14,11,78,14,11,"Thursday",62.3972602739726
"APPH90860947347","Male","C10055","C","B","4",3164.5,"B001","P","Y","S133","B",0,70000,4,"7",8,4,90,8,4,"Thursday",73.8027397260274
"APPP30205342136","Male","C10006","A","A","4",3850,"B002","P","Y","S133","B",0,50000,2,"10",17,11,90,17,11,"Thursday",74.413698630137
"APPS20640034406","Male","C10003","A","C","4",2600,"B002","P","Y","S122","B",0,50000,5,"7",28,7,94,28,7,"Thursday",78.1095890410959
"APPW10401854821","Male","C10005","A","B","2",3050,"B003","G","Y","S134","B",0,30000,4,"10",25,4,87,25,4,"Thursday",70.8465753424658
"APPX20748215949","Male","C10002","A","C","4",3007.5,"B003","G","Y","S137","B",608,30000,5,"7",10,8,79,10,8,"Thursday",63.1342465753425
"APPD50349215529","Male","C10174","C","A","4",2850,"B003","G","Y","S122","B",0,20000,3,"7",10,4,88,10,4,"Thursday",71.8082191780822
"APPH20483931906","Male","C10003","A","B","3",2400,"B004","P","Y","S133","E",0,50000,5,"4",24,4,87,24,4,"Thursday",70.8438356164384
"APPO30358993611","Male","C10002","A","A","4",3080,"B001","P","Y","S133","E",0,10000,1,"7",11,5,84,11,5,"Thursday",67.8904109589041
"APPX40979259506","Male","C10652","C","A","4",1500,"B003","G","Y","S133","B",500,10000,3,"2",4,6,84,4,6,"Thursday",67.9561643835616
"APPB20886378947","Male","C10003","A","C","4",2400,"B007","G","Y","S122","B",700,20000,3,"4",20,7,90,20,7,"Thursday",74.0849315068493
"APPC30956683003","Male","C10009","B","B","2",10000,"B003","G","Y","S133","B",0,10000,5,"10",14,3,78,14,3,"Thursday",61.7260273972603
"APPE10435608217","Male","C10002","A","A","4",8000,"B002","P","Y","S133","B",2550,50000,4,"10",28,7,89,28,7,"Thursday",73.1068493150685
"APPN70135738135","Male","C10012","A","C","4",1800,"B014","P","Y","S133","C",0,42000,5,"2",30,1,81,30,1,"Thursday",64.6109589041096
"APPR70171181506","Male","C10001","A","B","4",4200,"B001","P","Y","S133","B",1400,10000,3,"10",29,4,91,29,4,"Thursday",74.8602739726027
"APPU40937622821","Male","C10001","A","B","4",1700,"B001","P","Y","S122","B",350,10000,5,"2",31,8,79,31,8,"Thursday",63.1917808219178
"APPB60633627527","Male","C10010","A","A","1",3000,"B003","G","Y","S133","F",0,45000,5,"4",25,10,91,25,10,"Friday",75.3479452054794
"APPC30478072638","Female","C10002","A","A","4",2300,"B012","G","Y","S133","E",0,52000,5,"4",19,11,73,19,11,"Friday",57.4054794520548
"APPG70204563004","Male","C10005","A","B","4",2900,"B001","P","Y","S133","B",520,10000,2,"10",7,6,89,7,6,"Friday",72.9643835616438
"APPH80422312114","Male","C10002","A","B","4",2925.2,"B003","G","Y","S133","B",420,5000,1,"0",13,8,93,13,8,"Friday",77.1506849315068
"APPP70992643945","Female","C10005","A","A","4",3892.2,"B002","P","Y","S143","B",0,30000,3,"7",10,3,83,10,3,"Friday",66.7150684931507
"APPY10029957813","Male","C10004","A","B","2",5300,"B001","P","Y","S122","B",1111.1,70000,5,"10",23,10,83,23,10,"Friday",67.3369863013699
"APPZ80819366935","Male","C10001","A","A","4",2500,"B001","P","Y","S133","C",0,36000,5,"7",31,12,83,31,12,"Friday",67.5260273972603
"APPB70518925115","Male","C10001","A","B","4",3500,"B021","P","Y","S122","B",600,20000,2,"10",7,3,90,7,3,"Friday",73.7123287671233
"APPD20648321326","Male","C10001","A","A","4",50000,"B001","P","Y","S122","B",0,70000,5,"10",13,3,87,13,3,"Friday",70.7260273972603
"APPI30409973811","Male","C10003","A","B","4",1875,"B001","P","Y","S133","B",0,43000,5,"2",3,4,91,3,4,"Friday",74.786301369863
"APPN80382708322","Male","C10007","A","A","4",1750,"B003","G","Y","S133","F",0,39000,5,"2",21,2,85,21,2,"Friday",68.6712328767123
"APPP50761342522","Male","C10004","A","B","2",5300,"B001","P","Y","S143","B",1111.1,50000,5,"10",23,10,83,23,10,"Friday",67.3369863013699
"APPU90736089015","Male","C10014","B","A","4",3500,"B003","G","Y","S137","B",1000,39000,3,"10",27,3,88,27,3,"Friday",71.7671232876712
"APPV40154339146","Male","C10005","A","C","4",8000,"B002","P","Y","S134","B",2500,1e+05,5,"10",15,7,91,15,7,"Friday",75.0684931506849
"APPA30513853629","Male","C10001","A","A","4",4450,"B001","P","Y","S137","B",1200,72000,5,"10",23,8,79,23,8,"Friday",63.1671232876712
"APPH10874683343","Male","C10007","A","B","2",3400,"B005","P","Y","S133","C",0,57000,5,"7",25,3,91,25,3,"Friday",74.7616438356164
"APPP80784417128","Male","C10005","A","A","4",7950,"B004","P","Y","S133","B",0,1e+05,4,"10",11,2,83,11,2,"Friday",66.641095890411
"APPQ30582873222","Male","C10003","A","A","4",1800,"B013","G","Y","S133","E",500,21000,5,"2",11,2,77,11,2,"Friday",60.6383561643836
"APPX50323665945","Male","C10005","A","A","4",2200,"B001","P","Y","S133","B",0,49000,5,"4",29,6,91,29,6,"Friday",75.0246575342466
"APPH70817208942","Male","C10002","A","B","4",17000,"B001","P","Y","S133","E",0,40000,1,"10",24,7,75,24,7,"Saturday",59.0794520547945
"APPI80664442022","Male","C10004","A","A","2",2200,"B002","P","Y","S133","B",0,30000,3,"4",27,2,88,27,2,"Saturday",71.6849315068493
"APPJ60923719128","Male","C10003","A","A","4",4000,"B001","P","Y","S122","F",0,61000,4,"7",19,12,85,19,12,"Saturday",69.4931506849315
"APPL10258501346","Male","C10002","A","A","4",1735.9,"B001","P","Y","S133","C",0,40000,5,"2",29,9,91,29,9,"Saturday",75.2739726027397
"APPS50490061009","Male","C10077","C","B","4",2200,"B014","P","Y","S133","B",300,20000,3,"4",14,4,85,14,4,"Saturday",68.8109589041096
"APPV70982889332","Male","C10127","C","A","4",30000,"B003","G","Y","S122","B",1000,30000,2,"10",14,9,92,14,9,"Saturday",76.2356164383562
"APPY20595005627","Male","C10005","A","B","4",3000,"B030","P","Y","S133","B",0,50000,5,"7",3,4,88,3,4,"Saturday",71.7835616438356
"APPZ90679413746","Female","C10002","A","A","4",8000,"B002","P","Y","S133","B",950,50000,3,"10",15,8,82,15,8,"Saturday",66.1452054794521
"APPF30598434318","Male","C10006","A","A","4",2550,"B003","G","Y","S133","B",1000,20000,5,"7",2,12,81,2,12,"Saturday",65.4438356164383
"APPL70644406925","Female","C10004","A","A","4",3200,"B002","P","Y","S133","B",500,30000,5,"7",1,11,85,1,11,"Saturday",69.3616438356164
"APPM50146629037","Male","C10060","C","A","4",2500,"","","Y","S133","B",500,47000,5,"7",24,11,88,24,11,"Saturday",72.427397260274
"APPO80528504202","Female","C10003","A","A","4",1720,"B001","P","Y","S133","C",0,40000,5,"2",8,2,89,8,2,"Saturday",72.6356164383562
"APPS20313284631","Male","C10017","B","C","4",6500,"B002","P","Y","S122","B",1802,30000,3,"10",11,9,82,11,9,"Saturday",66.2191780821918
"APPU90008251826","Male","C10006","A","C","3",5100,"B001","P","Y","S133","C",0,66000,3,"7",23,11,89,23,11,"Saturday",73.4246575342466
"APPW90895783007","Female","C10005","A","B","4",5000,"B005","P","Y","S143","B",0,30000,2,"10",8,5,90,8,5,"Saturday",73.8794520547945
"APPZ70995862325","Male","C10002","A","A","4",10000,"B004","P","Y","S133","F",0,150000,5,"10",12,6,90,12,6,"Saturday",73.9753424657534
"APPF60426588931","Male","C10021","B","A","4",3500,"B003","G","Y","S133","C",0,54000,5,"4",3,3,71,3,3,"Sunday",54.6821917808219
"APPL10291525522","Male","C10002","A","A","4",4500,"B001","P","Y","S133","E",0,1e+05,5,"10",28,4,86,28,4,"Sunday",69.8465753424658
"APPN50643036726","Male","C10004","A","C","4",11200,"B005","P","Y","S133","C",0,150000,5,"7",16,10,85,16,10,"Sunday",69.3150684931507
"APPR60433381148","Male","C10017","B","A","4",3500,"","","Y","S143","B",550,20000,5,"10",25,2,90,25,2,"Sunday",73.6794520547945
"APPS90460278201","Male","C10017","B","A","4",1700,"B005","P","Y","S133","B",590,10000,3,"2",3,6,84,3,6,"Sunday",67.9452054794521
"APPW10346444622","Male","C10182","C","C","4",5500,"B003","G","Y","S122","B",0,50000,4,"10",10,12,58,10,12,"Sunday",42.4465753424658
"APPY40607074836","Male","C10002","A","B","4",13600,"B001","P","Y","S133","B",3000,1e+05,5,"10",28,1,80,28,1,"Sunday",63.5945205479452
"APPZ20878753922","Male","C10652","C","A","4",1500,"B046","P","Y","S133","B",0,33000,5,"2",15,9,89,15,9,"Sunday",73.2328767123288
"APPD20393274307","Male","C10002","A","A","4",4500,"B003","G","Y","S133","F",0,74000,5,"10",15,11,93,15,11,"Sunday",77.4027397260274
"APPG50912211643","Male","C10006","A","C","4",1800,"B004","P","Y","S133","B",500,19000,4,"2",1,10,87,1,10,"Sunday",71.2739726027397
"APPI60889013803","Male","C10003","A","A","4",2000,"B018","G","Y","S133","B",450,28000,5,"4",4,11,92,4,11,"Sunday",76.372602739726
"APPJ30530858912","Female","C10005","A","B","2",4400,"B001","P","Y","S133","C",0,72000,5,"7",25,8,90,25,8,"Sunday",74.1753424657534
"APPK60115011038","Male","C10001","A","B","4",5000,"B026","P","Y","S134","B",1500,20000,3,"10",1,1,85,1,1,"Sunday",68.5260273972603
"APPP60395216522","Male","C10002","A","B","1",7500,"","","Y","S133","E",0,50000,2,"10",10,10,85,10,10,"Sunday",69.2986301369863
"APPU80990895012","Male","C10132","C","B","4",15000,"B039","G","Y","S133","B",0,2e+05,4,"10",26,7,91,26,7,"Monday",75.0904109589041
"APPX60546379341","Male","C10004","A","B","3",4800,"B002","P","Y","S133","B",1367.9,20000,2,"10",26,8,82,26,8,"Monday",66.1698630136986
"APPA60043101615","Male","C10004","A","A","4",2000,"B018","G","Y","S133","B",0,45000,5,"4",18,10,88,18,10,"Monday",72.3205479452055
"APPB40707677725","Male","C10002","A","C","4",2650,"B003","G","Y","S133","B",0,30000,5,"10",4,10,79,4,10,"Monday",63.2739726027397
"APPD10790684933","Male","C10006","A","B","4",1800,"B007","G","Y","S133","C",0,40000,5,"2",3,12,85,3,12,"Monday",69.4438356164383
"APPH60274315313","Male","C10029","C","A","4",2000,"B003","G","Y","S133","C",0,29000,5,"4",17,4,91,17,4,"Monday",74.8164383561644
"APPO40869866045","Female","C10002","A","C","3",1800,"B021","P","Y","S133","C",0,42000,5,"2",19,12,82,19,12,"Monday",66.4849315068493
"APPS90992466418","Male","C10003","A","B","4",1950,"B001","P","Y","S133","B",300,10000,5,"2",19,12,73,19,12,"Monday",57.4794520547945
"APPX70803048934","Male","C10001","A","A","4",6000,"B004","P","Y","S133","B",0,50000,3,"10",3,3,89,3,3,"Monday",72.6931506849315
"APPB80397858345","Male","C10033","C","C","1",1200,"B004","P","Y","S133","C",0,74000,5,"0",23,8,90,23,8,"Monday",74.1671232876712
"APPG20047527833","Male","C10006","A","B","4",4600,"B001","P","Y","S133","B",0,1e+05,5,"10",16,7,89,16,7,"Monday",73.0630136986301
"APPO60310607619","Male","C10001","A","A","4",2000,"","","Y","S151","B",300,10000,5,"4",6,8,77,6,8,"Monday",61.1123287671233
"APPU60500007217","Male","C10006","A","B","4",7000,"B002","P","Y","S133","B",0,50000,3,"10",14,2,84,14,2,"Monday",67.641095890411
