"ID","Gender","City_Code","City_Category","Employer_Category1","Employer_Category2","Monthly_Income","Customer_Existing_Primary_Bank_Code","Primary_Bank_Type","Contacted","Source","Source_Category","Existing_EMI","Loan_Amount","Loan_Period","Interest_Rate","EMI","Var1","DOBDay","DOBMonth","DOBYear","Lead_Creation_DateDay","Lead_Creation_DateMonth","LeadCreationDOW","Age"
"APPL60776142522","Male","C10003","A","B","4",291666.3,"B002","P","Y","S133","B",7060,1e+05,5,14.85,2371,"10",15,5,88,15,5,"Saturday",71.9178082191781
"APPN50729023734","Male","C10023","B","A","4",1500,"B009","G","Y","S122","F",0,33000,5,20,874,"2",25,1,94,25,1,"Saturday",77.6191780821918
"APPR40227782118","Male","C10001","A","C","4",9350,"B002","P","Y","S133","E",3400,10000,3,14.85,346,"10",17,11,75,17,11,"Saturday",59.4164383561644
"APPX80187469727","Female","C10005","A","A","4",2120,"B001","P","Y","S133","B",0,20000,3,20,743,"4",25,7,84,25,7,"Saturday",68.1095890410959
"APPC60427976226","Male","C10004","A","A","4",3800,"B022","G","Y","S133","F",0,66000,5,17,1640,"7",13,6,81,13,6,"Saturday",64.9917808219178
"APPG50800243623","Female","C10002","A","A","4",5600,"B014","P","Y","S133","B",885,1e+05,5,13.49,2300,"10",9,1,73,9,1,"Saturday",56.5616438356164
"APPH10433332748","Male","C10002","A","A","1",2800,"B003","G","Y","S133","F",0,42000,5,19,1090,"4",18,2,71,18,2,"Saturday",54.6684931506849
"APPI40348921805","Male","C10006","A","A","4",3000,"B006","P","Y","S133","B",0,50000,5,20,1325,"7",11,9,95,11,9,"Saturday",79.2465753424657
"APPQ10182368643","Male","C10003","A","C","4",2000,"B001","P","Y","S134","C",0,29000,5,16.75,717,"4",26,11,88,26,11,"Saturday",72.4520547945205
"APPT20264132924","Male","C10008","A","B","4",1500,"B002","P","Y","S159","C",0,33000,5,20,874,"2",16,4,93,16,4,"Saturday",76.841095890411
"APPE10200701029","Male","C10004","A","B","4",5400,"B001","P","Y","S137","B",0,50000,4,14.85,1388,"10",13,6,82,13,6,"Saturday",65.9917808219178
"APPJ20310967521","Male","C10001","A","C","4",2050,"B013","G","Y","S134","B",0,10000,5,20,265,"4",19,9,71,19,9,"Saturday",55.2520547945205
"APPM60863037811","Male","C10001","A","C","4",3500,"B002","P","Y","S133","B",0,6000,1,14.75,541,"10",10,10,92,10,10,"Saturday",76.3260273972603
"APPO70832217022","Male","C10002","A","C","3",2550,"B001","P","Y","S133","B",0,20000,5,15.5,481,"10",11,1,89,11,1,"Saturday",72.5780821917808
"APPT10792153527","Male","C10002","A","B","4",3000,"","","Y","S133","B",0,50000,4,20,1522,"7",17,1,85,17,1,"Saturday",68.5917808219178
"APPU80979985636","Male","C10003","A","A","4",3400,"B003","G","Y","S133","C",0,53000,5,15.5,1275,"4",17,10,58,17,10,"Saturday",42.3205479452055
"APPW90127018832","Male","C10006","A","C","1",2350,"B001","P","Y","S133","B",0,55000,5,18.25,1404,"4",5,5,84,5,5,"Saturday",67.8876712328767
"APPZ20101292145","Male","C10010","A","A","4",2300,"B001","P","Y","S122","F",0,33000,5,20,874,"4",8,9,86,8,9,"Saturday",70.2328767123288
"APPB10848417338","Male","C10001","A","B","4",2015.3,"B002","P","Y","S133","B",621,15000,4,20,456,"4",9,6,90,9,6,"Saturday",73.986301369863
"APPC40239663433","Male","C10002","A","B","4",2300,"B003","G","Y","S133","C",0,33000,5,16.75,816,"4",2,3,82,2,3,"Saturday",65.7095890410959
"APPD20097051518","Male","C10010","A","C","4",8095.5,"B005","P","Y","S133","C",0,120000,4,15.75,3385,"7",18,2,87,18,2,"Saturday",70.6794520547945
"APPK10288641218","Male","C10004","A","A","1",3450,"B017","G","Y","S153","C",0,48000,4,19,1435,"4",1,8,82,1,8,"Saturday",66.1260273972603
"APPL90732086337","Male","C10006","A","A","4",2000,"B003","G","Y","S159","C",0,29000,5,20,768,"4",9,12,89,9,12,"Sunday",73.4849315068493
"APPM70990842401","Male","C10002","A","B","3",2100,"B001","P","Y","S133","B",780,10000,3,18.25,363,"2",25,7,80,25,7,"Sunday",64.1041095890411
"APPR10764977942","Male","C10012","A","C","2",7500,"B011","P","Y","S133","F",0,120000,5,13.5,2761,"7",2,8,85,2,8,"Sunday",69.1287671232877
"APPX90855367529","Male","C10309","C","C","4",4200,"B001","P","Y","S133","B",0,1e+05,5,17,2485,"7",13,10,87,13,10,"Sunday",71.3260273972603
"APPA30393886847","Male","C10002","A","B","4",3500,"B001","P","Y","S133","C",0,59000,5,17,1466,"7",2,1,84,2,1,"Sunday",67.5452054794521
"APPC10119469018","Male","C10003","A","C","1",2200,"B001","P","Y","S133","C",0,34000,5,14.5,800,"4",2,5,91,2,5,"Sunday",74.8794520547945
"APPE30664988236","Male","C10014","B","B","4",11500,"B001","P","Y","S133","C",0,120000,5,16,2918,"4",3,6,89,3,6,"Sunday",72.9671232876712
"APPF20625877301","Male","C10020","A","A","4",2800,"B001","P","Y","S133","B",302.5,30000,4,15.5,843,"7",12,3,89,12,3,"Sunday",72.7397260273973
"APPH30151345509","Male","C10020","A","B","4",1860,"B003","G","Y","S127","B",0,10000,3,20,372,"2",20,11,84,20,11,"Sunday",68.4301369863014
"APPJ30361269731","Male","C10196","B","C","4",5300,"B002","P","Y","S133","E",0,30000,2,13.5,1433,"7",1,10,81,1,10,"Sunday",65.2904109589041
"APPM50228117025","Male","C10003","A","C","4",3380,"","","Y","S133","E",0,30000,5,13.99,698,"10",8,8,88,8,8,"Sunday",72.1479452054794
"APPN70012683119","Female","C10005","A","B","3",2500,"B004","P","Y","S133","F",0,35000,4,16.75,1005,"7",27,5,90,27,5,"Sunday",73.9479452054795
"APPO90770468211","Male","C10005","A","B","4",3500,"B001","P","Y","S133","C",0,54000,5,29.5,1731,"4",23,4,82,23,4,"Sunday",65.8493150684932
"APPR70506299542","Male","C10002","A","C","4",4800,"B012","G","Y","S133","C",0,85000,5,14.75,2011,"7",14,11,67,14,11,"Sunday",51.4
"APPZ10238963306","Male","C10009","B","B","4",2600,"B001","P","Y","S159","B",350,10000,3,14.85,346,"10",18,8,91,18,8,"Sunday",75.1753424657534
"APPA30874904437","Male","C10005","A","A","4",2500,"","","Y","S133","B",250,10000,5,19.75,264,"7",7,7,89,7,7,"Sunday",73.0602739726027
"APPF50037929916","Male","C10003","A","C","2",3600,"B002","P","Y","S122","F",0,52000,4,14.25,1428,"7",20,8,85,20,8,"Monday",69.1753424657534
"APPG10834503041","Male","C10007","A","C","1",3500,"B003","G","Y","S133","C",0,59000,5,13,1342,"7",15,7,86,15,7,"Monday",70.0767123287671
"APPH40967627122","Male","C10003","A","B","4",3000,"B014","P","Y","S133","C",0,45000,5,17,1118,"7",20,6,90,20,6,"Monday",74.0109589041096
"APPM80605571641","Female","C10007","A","C","4",2000,"B033","G","Y","S159","C",0,29000,5,32.5,983,"4",20,3,77,20,3,"Monday",60.7506849315068
"APPY80690085843","Male","C10005","A","C","4",3000,"B004","P","Y","S133","E",0,42000,5,15.5,1010,"10",6,1,87,6,1,"Monday",70.5561643835617
"APPZ20729429941","Male","C10008","A","A","4",1500,"","","Y","S133","B",0,17000,2,20,865,"2",16,12,92,16,12,"Monday",76.5041095890411
"APPA30531058029","Male","C10004","A","C","4",8300,"B002","P","Y","S133","B",2650,1e+05,5,13.99,2326,"10",24,1,81,24,1,"Monday",64.6027397260274
"APPB80250096128","Male","C10006","A","B","4",1585.6,"B006","P","Y","S133","B",0,20000,4,20,609,"2",8,9,90,8,9,"Monday",74.2301369863014
"APPE30598585445","Male","C10003","A","B","4",2000,"B024","G","Y","S133","C",0,29000,5,32.5,983,"4",22,1,89,22,1,"Monday",72.6027397260274
"APPV90359067103","Male","C10002","A","A","1",2500,"B003","G","Y","S134","B",0,50000,5,13,1138,"10",24,4,90,24,4,"Monday",73.8547945205479
"APPA60969495628","Male","C10001","A","A","4",2100,"B010","G","Y","S133","B",0,30000,5,20,795,"4",26,1,89,26,1,"Monday",72.613698630137
"APPE10769524014","Male","C10023","B","A","4",3000,"B003","G","Y","S159","B",0,10000,2,15.35,487,"10",9,11,82,9,11,"Monday",66.3945205479452
"APPF20373584102","Male","C10011","B","A","4",2086,"B040","P","Y","S133","B",0,20000,5,20,530,"4",19,1,92,19,1,"Monday",75.5945205479452
"APPG80309102235","Male","C10004","A","B","4",5000,"B004","P","Y","S133","B",0,30000,3,13.99,1025,"10",30,5,90,30,5,"Monday",73.9534246575342
"APPI30449607434","Male","C10001","A","B","4",2500,"B003","G","Y","S133","E",0,50000,5,15.5,1203,"7",1,9,90,1,9,"Monday",74.2109589041096
"APPK40305944614","Male","C10001","A","C","4",2100,"B002","P","Y","S122","B",212.4,22000,3,16.75,782,"4",25,7,89,25,7,"Monday",73.1068493150685
"APPO30398314007","Male","C10018","C","A","1",3800,"B004","P","Y","S133","E",0,50000,5,14.85,1186,"10",11,1,62,11,1,"Monday",45.5534246575342
"APPQ40182527233","Male","C10007","A","C","4",2500,"B002","P","Y","S151","B",750,10000,3,16.75,355,"10",16,1,81,16,1,"Monday",64.5808219178082
"APPR30592087313","Male","C10102","C","B","4",1610,"B044","P","Y","S133","B",0,10000,5,20,265,"2",20,8,89,20,8,"Monday",73.1780821917808
"APPW70591476837","Male","C10020","A","C","4",5800,"B001","P","Y","S133","C",0,105000,5,14.75,2484,"7",5,7,87,5,7,"Monday",71.0493150684931
"APPZ20555868104","Male","C10001","A","C","4",3200,"B003","G","Y","S133","B",666.6,30000,5,15.5,722,"10",13,3,80,13,3,"Monday",63.7342465753425
"APPC20734091446","Male","C10005","A","B","4",3000,"B001","P","Y","S133","F",0,45000,5,16.75,1112,"4",17,6,83,17,6,"Monday",66.9972602739726
"APPG30388623817","Male","C10003","A","C","4",4000,"","","Y","S133","B",253.8,30000,3,17.5,1077,"10",7,4,85,7,4,"Monday",68.8054794520548
"APPL10249834346","Male","C10016","B","C","4",1200,"B001","P","Y","S133","B",0,27000,5,20,715,"2",2,3,81,2,3,"Monday",64.7041095890411
"APPS60110651012","Female","C10019","B","A","4",4000,"","","Y","S133","B",400,20000,4,15.5,562,"7",15,8,62,15,8,"Monday",46.1452054794521
"APPT90980498131","Male","C10006","A","A","4",4900,"B013","G","Y","S133","C",0,81000,5,14.85,1921,"7",15,7,87,15,7,"Monday",71.0767123287671
"APPU30110017218","Male","C10001","A","A","1",3650,"B003","G","Y","S133","B",0,50000,5,18,1270,"7",10,4,84,10,4,"Monday",67.813698630137
"APPA50891789808","Male","C10004","A","A","3",2360,"B005","P","Y","S133","B",0,37000,5,15.75,895,"4",31,3,91,31,3,"Tuesday",74.786301369863
"APPB30105755939","Male","C10207","C","B","4",2050,"B034","G","Y","S133","B",0,20000,3,20,743,"4",1,8,86,1,8,"Tuesday",70.1205479452055
"APPC10078523014","Female","C10002","A","B","4",2580,"B010","G","Y","S133","C",0,39000,5,19,1012,"4",4,3,87,4,3,"Tuesday",70.7095890410959
"APPD10297832113","Male","C10002","A","C","3",2000,"B005","P","Y","S133","B",0,16000,2,16.75,789,"4",10,7,88,10,7,"Tuesday",72.0630136986301
"APPR60834219523","Male","C10003","A","A","4",4500,"B001","P","Y","S122","B",700,20000,5,14.85,474,"10",11,8,87,11,8,"Tuesday",71.1479452054794
"APPS90066401613","Male","C10002","A","B","4",2500,"","","Y","S134","B",0,20000,5,19,519,"7",1,10,86,1,10,"Tuesday",70.2876712328767
"APPT60413282714","Male","C10001","A","A","1",10000,"B001","P","Y","S122","B",0,120000,5,16,2918,"10",11,1,82,11,1,"Tuesday",65.5643835616438
"APPV50558107929","Male","C10002","A","B","4",6200,"B001","P","Y","S159","C",0,79000,3,16.25,2787,"10",15,10,84,15,10,"Tuesday",68.3260273972603
"APPW80305276026","Male","C10026","C","C","4",2200,"B003","G","Y","S133","B",0,32000,5,16.75,791,"4",30,7,88,30,7,"Tuesday",72.1178082191781
"APPX40140715111","Male","C10037","B","B","4",1500,"B001","P","Y","S133","B",600,10000,4,18.5,296,"2",10,8,88,10,8,"Tuesday",72.1479452054794
"APPA60414888433","Male","C10001","A","B","4",2050,"B004","P","Y","S122","B",0,10000,5,24,288,"4",8,2,84,8,2,"Tuesday",67.641095890411
"APPC40254714615","Male","C10001","A","C","3",3300,"B002","P","Y","S133","B",0,50000,5,14.99,1189,"10",13,12,79,13,12,"Tuesday",63.4821917808219
"APPI80998283208","Male","C10002","A","B","4",2450,"B002","P","Y","S133","B",500,10000,1,18.25,918,"4",1,9,93,1,9,"Tuesday",77.2109589041096
"APPK60768689411","Male","C10002","A","A","4",2200,"B004","P","Y","S159","B",0,20000,5,32.5,678,"4",2,3,86,2,3,"Tuesday",69.7041095890411
"APPP40129305907","Male","C10030","B","A","4",10000,"","","Y","S133","B",100,10000,3,20,372,"10",4,5,73,4,5,"Tuesday",56.8684931506849
"APPT70183535323","Male","C10001","A","A","4",3900,"B001","P","Y","S122","B",0,80000,5,15.5,1924,"7",3,12,79,3,12,"Tuesday",63.4547945205479
"APPV30072491521","Male","C10003","A","A","4",2570,"B038","P","Y","S133","B",360.3,10000,3,16.75,355,"7",20,8,87,20,8,"Tuesday",71.172602739726
"APPJ50135705908","Male","C10001","A","C","3",3350,"B017","G","Y","S134","C",0,52000,5,14.5,1223,"10",1,10,88,1,10,"Tuesday",72.2904109589041
"APPM50365154243","Male","C10004","A","B","4",5300,"B001","P","Y","S137","B",0,30000,3,17.75,1081,"10",2,5,79,2,5,"Tuesday",62.8657534246575
"APPO90778031432","Male","C10007","A","A","4",9000,"B001","P","Y","S133","B",408.4,50000,5,14.85,1186,"10",23,8,82,23,8,"Tuesday",66.1780821917808
"APPU80509074044","Male","C10003","A","C","4",2194,"B017","G","Y","S133","E",374.5,18000,2,20,916,"4",27,7,82,27,7,"Tuesday",66.1041095890411
"APPZ30470877547","Male","C10001","A","A","4",3000,"","","Y","S133","B",1000,40000,5,20,1060,"7",30,11,93,30,11,"Tuesday",77.4575342465753
"APPD80328934945","Male","C10052","C","A","4",2800,"B016","G","Y","S133","B",250,20000,2,15.75,977,"7",23,7,77,23,7,"Tuesday",61.0904109589041
"APPE10454749046","Male","C10004","A","B","4",1850,"B004","P","Y","S133","C",0,41000,5,20,1086,"2",15,5,83,15,5,"Tuesday",66.9041095890411
"APPG60276348205","Male","C10006","A","B","4",14950,"B004","P","Y","S133","B",1258,20000,2,14.85,968,"10",18,8,88,18,8,"Tuesday",72.1698630136986
"APPH60664183321","Male","C10008","A","C","4",3303.1,"B002","P","Y","S133","B",0,30000,5,15,714,"10",3,3,86,3,3,"Tuesday",69.7068493150685
"APPO20189822007","Male","C10002","A","A","4",2500,"B005","P","Y","S133","C",0,36000,5,19,934,"4",7,7,91,7,7,"Tuesday",75.0547945205479
"APPZ40098878108","Male","C10005","A","C","3",1800,"B001","P","Y","S133","B",300,10000,3,18.5,364,"2",28,5,94,28,5,"Wednesday",77.9452054794521
"APPB70442734319","Male","C10201","C","C","4",3300,"B004","P","Y","S143","B",0,20000,2,19,1008,"7",15,5,91,15,5,"Wednesday",74.9068493150685
"APPD30486092544","Male","C10002","A","A","3",2800,"B005","P","Y","S134","B",600,30000,5,13.99,698,"10",10,11,89,10,11,"Wednesday",73.3972602739726
"APPI70634288016","Male","C10007","A","A","4",3200,"B002","P","Y","S133","C",0,49000,5,19,1271,"7",1,8,82,1,8,"Wednesday",66.1150684931507
"APPJ90523144107","Male","C10002","A","A","4",2150,"B003","G","Y","S133","E",0,25000,2,20,1272,"4",3,3,90,3,3,"Wednesday",73.7068493150685
"APPK90851579202","Male","C10017","B","B","4",2800,"B002","P","Y","S143","B",1100,15000,5,20,397,"7",18,1,90,18,1,"Wednesday",73.586301369863
"APPM40451325417","Male","C10006","A","C","4",2200,"B007","G","Y","S133","E",350,20000,4,20,609,"4",23,10,91,23,10,"Wednesday",75.3479452054794
"APPN90929804518","Male","C10011","B","B","4",2800,"B023","G","Y","S133","C",0,42000,5,19,1090,"7",11,5,74,11,5,"Wednesday",57.8849315068493
"APPR30909888915","Male","C10042","C","C","4",3000,"B002","P","Y","S133","B",0,10000,3,13,337,"7",3,2,74,3,2,"Wednesday",57.6191780821918
"APPS20728482014","Male","C10005","A","A","4",2000,"","","Y","S159","B",0,10000,1,20,926,"4",13,2,90,13,2,"Wednesday",73.6575342465753
"APPU70624065235","Male","C10002","A","C","4",3050,"B001","P","Y","S133","B",0,50000,5,14.99,1189,"10",10,6,85,10,6,"Wednesday",68.9753424657534
"APPW30836935416","Male","C10004","A","C","4",4000,"B001","P","Y","S134","B",0,50000,5,15.5,1203,"10",28,8,86,28,8,"Wednesday",70.1917808219178
"APPX10532151548","Male","C10001","A","B","4",2750,"B002","P","Y","S133","B",0,10000,1,15.5,905,"7",9,3,89,9,3,"Wednesday",72.7232876712329
"APPB40188979941","Male","C10011","B","B","4",1350,"B001","P","Y","S159","B",0,20000,5,20,530,"2",12,9,86,12,9,"Wednesday",70.2328767123288
"APPC90796515024","Male","C10002","A","B","4",3500,"B009","G","Y","S133","E",0,15000,3,15.75,526,"7",5,9,87,5,9,"Wednesday",71.213698630137
"APPE30694295241","Male","C10059","B","C","4",2500,"B003","G","Y","S133","B",500,47000,5,20,1245,"7",10,2,72,10,2,"Wednesday",55.6356164383562
"APPG30216561448","Male","C10009","B","C","4",1700,"","","Y","S133","B",0,38000,5,20,1007,"2",3,12,75,3,12,"Wednesday",59.4493150684931
"APPI30712489617","Female","C10004","A","A","4",3219.2,"B003","G","Y","S133","C",0,50000,5,19,1297,"4",25,2,71,25,2,"Wednesday",54.6767123287671
"APPJ10278243703","Male","C10004","A","A","4",3100,"B006","P","Y","S133","C",0,52000,5,19,1349,"7",6,8,90,6,8,"Wednesday",74.1342465753425
"APPK80277621846","Male","C10002","A","B","4",4332,"B002","P","Y","S133","B",721.6,50000,4,14.85,1388,"10",5,1,90,5,1,"Wednesday",73.5506849315069
"APPP60023927349","Female","C10041","C","A","4",2164.8,"B003","G","Y","S133","B",0,10000,5,24,288,"4",3,1,86,3,1,"Wednesday",69.5424657534247
"APPQ30612604402","Male","C10002","A","C","4",3170,"B004","P","Y","S133","B",1000,20000,3,20,743,"7",1,9,86,1,9,"Wednesday",70.2027397260274
"APPV60622819917","Male","C10004","A","A","4",2600,"B024","G","Y","S133","E",830,16000,4,16.5,458,"7",20,6,63,20,6,"Wednesday",46.986301369863
"APPY30046504231","Female","C10001","A","C","4",31200,"B021","P","Y","S133","B",0,150000,5,14.85,3557,"10",10,10,82,10,10,"Wednesday",66.3068493150685
"APPZ80350479313","Male","C10003","A","A","4",2500,"B003","G","Y","S133","C",0,36000,5,20,954,"4",1,8,80,1,8,"Wednesday",64.1150684931507
"APPA80096183429","Male","C10007","A","A","4",2500,"B003","G","Y","S122","C",0,36000,5,32.5,1221,"4",22,12,85,22,12,"Wednesday",69.5095890410959
"APPB70273443505","Male","C10001","A","B","4",2778,"B003","G","Y","S133","C",0,40000,4,15,1113,"7",3,7,81,3,7,"Wednesday",65.0356164383562
"APPF10034408943","Male","C10003","A","C","4",2800,"B001","P","Y","S159","C",0,42000,5,20,1113,"7",20,12,74,20,12,"Wednesday",58.4958904109589
"APPH90511677131","Male","C10008","A","A","4",2560,"B008","G","Y","S133","B",0,20000,5,24,575,"7",25,7,84,25,7,"Wednesday",68.0986301369863
"APPK90285872443","Male","C10001","A","A","4",2600,"B004","P","Y","S133","B",0,10000,2,15.5,487,"7",19,3,92,19,3,"Wednesday",75.7534246575343
"APPL60953579512","Female","C10011","B","B","4",2230,"B002","P","Y","S133","C",0,32000,5,24,921,"4",14,9,91,14,9,"Wednesday",75.241095890411
"APPM20644925619","Male","C10003","A","C","4",2080,"B007","G","Y","S133","B",0,47000,5,20,1245,"4",14,9,83,14,9,"Wednesday",67.2356164383562
"APPP90991305913","Male","C10008","A","C","4",2500,"B004","P","Y","S159","C",0,39000,5,15.5,938,"10",21,5,85,21,5,"Wednesday",68.9205479452055
"APPU10135235412","Male","C10126","C","A","4",2500,"","","Y","S133","B",0,50000,5,16.75,1236,"7",16,11,66,16,11,"Wednesday",50.3972602739726
"APPC90727362248","Female","C10006","A","A","3",3580,"B002","P","Y","S133","C",0,72000,5,16.75,1780,"4",20,2,84,20,2,"Wednesday",67.6712328767123
"APPF30948581526","Male","C10511","C","A","4",2600,"B003","G","Y","S133","B",600,20000,5,15.5,481,"7",7,6,88,7,6,"Wednesday",71.9698630136986
"APPG60202918616","Male","C10001","A","C","1",2000,"B001","P","Y","S143","C",0,31000,5,18.25,791,"4",25,3,91,25,3,"Wednesday",74.7671232876712
"APPL30082033114","Male","C10001","A","A","4",2000,"B002","P","Y","S133","C",0,29000,5,32.5,983,"4",8,12,81,8,12,"Wednesday",65.4684931506849
"APPO60813926409","Female","C10002","A","C","1",2600,"B001","P","Y","S133","C",0,42000,5,13,956,"4",14,7,88,14,7,"Wednesday",72.0712328767123
"APPS30481303817","Male","C10004","A","B","4",1600,"B001","P","Y","S127","C",0,37000,5,18.5,950,"2",24,7,90,24,7,"Thursday",74.0958904109589
"APPT50402483936","Male","C10002","A","C","3",3100,"B001","P","Y","S122","B",759.9,10000,3,19,367,"10",20,9,88,20,9,"Thursday",72.2547945205479
"APPU40449068016","Male","C10010","A","B","4",6000,"B002","P","Y","S133","F",0,104000,5,14.85,2466,"7",6,12,89,6,12,"Thursday",73.4657534246575
"APPX50585681323","Male","C10007","A","C","4",7000,"B002","P","Y","S122","C",0,111000,4,16.25,3160,"7",5,12,80,5,12,"Thursday",64.4575342465753
"APPB70963575742","Male","C10004","A","A","4",7450,"B022","G","Y","S137","B",0,20000,2,14.85,968,"10",10,11,81,10,11,"Thursday",65.3890410958904
"APPF10850926136","Male","C10005","A","B","4",1945,"B003","G","Y","S143","B",450,27000,5,18.5,693,"2",6,7,86,6,7,"Thursday",70.0438356164384
"APPG90248489235","Male","C10023","B","A","4",4000,"B003","G","Y","S133","B",0,20000,5,15.5,481,"7",12,4,83,12,4,"Thursday",66.8082191780822
"APPI30734581444","Male","C10001","A","A","4",2700,"B004","P","Y","S133","B",0,5000,3,15.5,175,"7",3,8,85,3,8,"Thursday",69.1205479452055
"APPJ70071568525","Female","C10035","C","B","4",3e+05,"B003","G","Y","S133","B",1000,250000,5,16,6080,"10",8,2,83,8,2,"Thursday",66.6356164383562
"APPK30063345602","Male","C10014","B","A","4",2600,"","","Y","S143","B",321.7,5000,1,14.85,451,"10",17,2,90,17,2,"Thursday",73.6657534246575
"APPM40335888826","Male","C10005","A","B","4",2000,"B001","P","Y","S133","C",0,29000,5,16.75,717,"4",2,4,88,2,4,"Thursday",71.786301369863
"APPQ50283384214","Female","C10002","A","B","4",3238.6,"B002","P","Y","S133","B",385.1,20000,3,15.5,698,"7",9,1,89,9,1,"Thursday",72.558904109589
"APPR60598764318","Male","C10063","C","A","4",5300,"B002","P","Y","S122","B",0,1e+05,5,13.75,2314,"10",14,7,94,14,7,"Thursday",78.0712328767123
"APPV50716587732","Male","C10007","A","A","4",2686,"B008","G","Y","S133","E",164.1,10000,5,15.5,241,"7",9,11,74,9,11,"Thursday",58.3808219178082
"APPZ20847918104","Male","C10405","C","A","4",3500,"B002","P","Y","S133","B",600,10000,2,15.75,488,"7",1,8,79,1,8,"Thursday",63.1095890410959
"APPB90344945306","Male","C10015","C","A","1",2700,"B001","P","Y","S133","C",0,40000,5,15.5,962,"4",20,9,86,20,9,"Thursday",70.2520547945205
"APPI50849415049","Male","C10005","A","C","4",3850,"B002","P","Y","S133","B",0,10000,2,15.75,488,"10",3,3,86,3,3,"Thursday",69.7013698630137
"APPQ90569518805","Female","C10004","A","C","4",5100,"B019","G","Y","S137","B",0,50000,4,14.85,1388,"10",21,6,79,21,6,"Thursday",62.9972602739726
"APPW50845645427","Male","C10002","A","A","4",4200,"B029","G","Y","S133","C",0,69000,5,20,1828,"7",11,8,87,11,8,"Thursday",71.1424657534247
"APPY50204128621","Male","C10001","A","C","4",3600,"B002","P","Y","S134","C",0,55000,4,23.5,1778,"7",4,8,83,4,8,"Thursday",67.1205479452055
"APPG30196114449","Male","C10022","B","B","4",3000,"B001","P","Y","S133","C",0,45000,5,16.75,1112,"7",5,7,89,5,7,"Thursday",73.0438356164384
"APPI10377217633","Male","C10006","A","C","4",2250,"B004","P","Y","S143","C",0,35000,5,18.5,898,"4",4,4,93,4,4,"Thursday",76.7945205479452
"APPJ40318634703","Male","C10003","A","C","4",7800,"B001","P","Y","S133","C",0,120000,4,14.85,3331,"10",11,4,73,11,4,"Thursday",56.8
"APPQ80619273444","Male","C10011","B","A","4",1300,"B001","P","Y","S133","F",0,29000,5,20,768,"2",20,6,94,20,6,"Thursday",78.0054794520548
"APPV10152372903","Male","C10005","A","A","4",2400,"B019","G","Y","S133","C",0,35000,5,20,927,"4",25,2,88,25,2,"Thursday",71.6849315068493
"APPA70723537417","Male","C10001","A","B","3",1900,"B001","P","Y","S133","B",0,30000,5,18.5,770,"2",5,4,78,5,4,"Friday",61.7835616438356
