"ID","Gender","City_Code","City_Category","Employer_Category1","Employer_Category2","Monthly_Income","Customer_Existing_Primary_Bank_Code","Primary_Bank_Type","Contacted","Source","Source_Category","Existing_EMI","Loan_Amount","Loan_Period","Interest_Rate","EMI","Var1","Approved","DOBDay","DOBMonth","DOBYear","Lead_Creation_DateDay","Lead_Creation_DateMonth","LeadCreationDOW","Age"
"APPR20642966332","Male","C10024","A","A","4",2500,"B014","P","Y","S133","F",0,36000,5,19,934,"4",0,6,2,85,6,2,"Friday",68.6493150684932
"APPT10697719502","Male","C10005","A","A","4",12000,"B009","G","Y","S133","C",0,180000,5,14.85,4268,"2",0,6,4,96,6,4,"Friday",79.8191780821918
"APPU50442961628","Male","C10001","A","C","4",4000,"B002","P","Y","S133","C",0,61000,4,14.85,1693,"7",0,25,4,85,25,4,"Friday",68.8630136986301
"APPV80323301739","Male","C10097","C","C","4",3000,"B003","G","Y","S133","B",0,60000,5,13.99,1396,"7",0,10,12,86,10,12,"Friday",70.4904109589041
"APPZ60863399134","Male","C10003","A","C","3",4000,"B002","P","Y","S133","B",446.5,5000,5,14.85,119,"10",0,10,12,75,10,12,"Friday",59.4821917808219
"APPB20614524311","Male","C10003","A","A","4",3000,"B004","P","Y","S122","B",0,5000,3,31,215,"7",0,26,3,87,26,3,"Friday",70.7808219178082
"APPJ80866622106","Male","C10712","C","A","4",2500,"B002","P","Y","S133","B",0,30000,5,20,795,"7",0,14,3,83,14,3,"Friday",66.7452054794521
"APPL50553264328","Male","C10003","A","A","4",2000,"B033","G","Y","S133","C",0,29000,5,20,768,"4",0,31,7,89,31,7,"Friday",73.1315068493151
"APPM20228316432","Male","C10001","A","A","4",2050,"B043","P","Y","S133","C",0,24000,3,16.75,853,"4",0,16,3,88,16,3,"Friday",71.7561643835616
"APPN70287757546","Male","C10006","A","C","3",2500,"B005","P","Y","S122","B",0,20000,3,14.75,691,"10",0,4,11,86,4,11,"Friday",70.3917808219178
"APPP90856834733","Male","C10015","C","A","4",2470,"B028","P","Y","S122","B",0,29000,4,24,945,"4",0,30,10,89,30,10,"Friday",73.3808219178082
"APPR10660344921","Male","C10027","A","B","4",2000,"B004","P","Y","S122","B",0,10000,5,18.5,257,"4",0,11,4,84,11,4,"Friday",67.8246575342466
"APPA70917503832","Male","C10005","A","B","4",1826.3,"B005","P","Y","S133","E",500,20000,5,18.5,513,"2",0,7,2,84,7,2,"Friday",67.6493150684932
"APPB40581766911","Female","C10005","A","A","3",1600,"B001","P","Y","S133","F",0,37000,5,18.5,950,"2",0,15,10,92,15,10,"Friday",76.3424657534247
"APPE40727601214","Male","C10020","A","C","4",2100,"B047","P","Y","S159","C",0,30000,5,32.5,1017,"4",0,10,10,91,10,10,"Friday",75.3260273972603
"APPG50978459433","Male","C10036","C","C","4",3500,"B002","P","Y","S159","C",0,54000,5,16.75,1335,"4",0,10,12,78,10,12,"Friday",62.4849315068493
"APPI70174011618","Male","C10004","A","C","4",2000,"B004","P","Y","S133","B",0,30000,4,16.75,862,"4",0,14,1,88,14,1,"Friday",71.586301369863
"APPL10961478906","Male","C10008","A","C","2",3500,"B002","P","Y","S143","C",0,59000,5,14.85,1399,"7",0,28,6,91,28,6,"Friday",75.041095890411
"APPM40276336019","Male","C10001","A","A","4",10000,"B024","G","Y","S133","B",0,1e+05,3,13.75,3406,"10",0,28,3,83,28,3,"Friday",66.7835616438356
"APPP30085211329","Male","C10004","A","C","1",2050,"B006","P","Y","S159","C",0,32000,5,18.25,817,"4",0,1,2,94,1,2,"Friday",77.641095890411
"APPV50421944924","Male","C10003","A","C","4",3480,"B010","G","Y","S122","B",891,20000,3,15.5,698,"7",0,9,4,83,9,4,"Friday",66.8164383561644
"APPE50266495833","Male","C10162","C","A","4",1550,"B020","G","Y","S133","B",0,10000,3,20,372,"2",0,10,10,87,10,10,"Friday",71.3232876712329
"APPG80892374006","Male","C10010","A","A","4",5500,"B005","P","Y","S122","F",0,95000,5,14.85,2253,"7",0,25,11,81,25,11,"Friday",65.4465753424657
"APPR20482552108","Male","C10009","B","B","4",6000,"B004","P","Y","S122","B",0,50000,3,14.85,1730,"10",0,9,2,87,9,2,"Friday",70.6575342465753
"APPU60917577429","Male","C10003","A","A","4",7000,"B002","P","Y","S122","B",1200,50000,5,13.5,1150,"10",0,5,4,87,5,4,"Friday",70.8082191780822
"APPX20851623713","Male","C10004","A","A","4",6000,"B031","G","Y","S122","B",1700,30000,3,14.85,1038,"10",0,4,5,67,4,5,"Friday",50.8739726027397
"APPD60169998314","Male","C10001","A","C","4",3200,"B002","P","Y","S133","E",0,20000,5,16.75,494,"10",0,3,6,84,3,6,"Friday",67.9698630136986
"APPE80499171433","Male","C10492","C","A","4",3200,"B003","G","Y","S133","E",0,20000,3,16.75,711,"7",0,17,4,78,17,4,"Friday",61.8356164383562
"APPI50999506822","Female","C10376","C","A","4",3950,"B003","G","Y","S133","B",550,20000,4,16.5,572,"7",0,6,1,83,6,1,"Friday",66.5616438356164
"APPL10781772115","Female","C10018","C","A","4",1800,"B033","G","Y","S133","C",0,40000,5,20,1060,"2",0,31,3,59,31,3,"Friday",42.7753424657534
"APPP80876282503","Male","C10140","C","A","4",3000,"","","Y","S159","B",0,20000,5,24,575,"7",0,27,6,66,27,6,"Friday",50.0219178082192
"APPQ90006078611","Male","C10004","A","B","4",3000,"B002","P","Y","S123","B",0,30000,3,15.5,1047,"7",0,19,7,76,19,7,"Friday",60.0904109589041
"APPS30325101843","Male","C10001","A","C","4",10050,"B001","P","Y","S143","B",0,30000,2,14.85,1452,"10",0,31,8,76,31,8,"Friday",60.2082191780822
"APPZ30226988548","Male","C10251","C","A","4",2500,"B003","G","Y","S159","B",0,50000,5,15.75,1209,"7",0,30,10,79,30,10,"Friday",63.372602739726
"APPA90558181601","Male","C10434","C","B","4",4500,"B003","G","Y","S133","B",1500,30000,3,20,1115,"10",0,3,3,75,3,3,"Friday",58.7095890410959
"APPD40162666949","Male","C10002","A","C","4",8000,"B001","P","Y","S133","B",0,240000,5,13.99,5583,"10",0,23,6,88,23,6,"Friday",72.027397260274
"APPF20326232104","Male","C10027","A","C","4",2500,"B004","P","Y","S156","B",0,20000,4,15.75,564,"7",0,30,8,92,30,8,"Friday",76.2164383561644
"APPG10200623227","Male","C10009","B","B","4",2600,"","","Y","S133","B",0,20000,4,19,598,"10",0,7,10,93,7,10,"Friday",77.3205479452055
"APPH80882649347","Female","C10014","B","A","4",1500,"","","Y","S127","B",0,10000,3,20,372,"2",0,7,7,86,7,7,"Friday",70.0630136986301
"APPJ60678719543","Male","C10004","A","A","1",8000,"B005","P","Y","S159","B",3000,1e+05,5,13.99,2326,"10",0,16,9,86,16,9,"Friday",70.2575342465753
"APPL80898121725","Male","C10005","A","C","4",2475,"B028","P","Y","S133","C",0,36000,5,32.5,1221,"4",0,19,10,89,19,10,"Friday",73.3506849315068
"APPN80754444901","Male","C10021","B","A","4",5000,"B003","G","Y","S133","E",0,25000,2,15.5,1218,"10",0,27,11,82,27,11,"Friday",66.4520547945205
"APPO50586032011","Male","C10001","A","A","4",1888.2,"B003","G","Y","S159","B",0,20000,3,20,743,"2",0,8,11,86,8,11,"Friday",70.4027397260274
"APPQ60075625248","Male","C10007","A","C","4",1600,"B006","P","Y","S133","B",0,10000,4,20,304,"2",0,4,6,78,4,6,"Friday",61.9671232876712
"APPR80404068308","Male","C10004","A","B","4",2350,"B003","G","Y","S122","B",0,10000,2,18.25,500,"4",0,30,1,89,30,1,"Friday",72.6328767123288
"APPV40395871718","Male","C10221","C","A","4",2500,"B012","G","Y","S133","B",0,20000,3,15.75,701,"7",0,26,7,89,26,7,"Friday",73.1178082191781
"APPZ90595276125","Male","C10007","A","C","4",1850,"B001","P","Y","S133","C",0,41000,5,20,1086,"2",0,5,10,80,5,10,"Friday",64.3068493150685
"APPB40272977309","Male","C10004","A","C","4",4500,"B005","P","Y","S133","C",0,74000,5,24,2129,"10",0,16,1,72,16,1,"Friday",55.5808219178082
"APPC10917984411","Female","C10002","A","A","4",2480,"B002","P","Y","S133","B",300,17000,3,20,632,"4",0,6,7,75,6,7,"Friday",59.0520547945206
"APPG90888946828","Male","C10167","C","A","4",1500,"","","Y","S133","B",500,15000,5,20,397,"2",0,13,12,89,13,12,"Friday",73.5013698630137
"APPK90640665214","Male","C10268","C","C","4",4800,"B004","P","Y","S133","B",1168.7,45000,5,13.99,1047,"7",0,6,2,90,6,2,"Friday",73.6520547945206
"APPS20423685046","Male","C10003","A","B","4",6000,"B011","P","Y","S133","B",0,70000,5,14.85,1660,"10",0,24,8,83,24,8,"Friday",67.1917808219178
"APPU70048105233","Male","C10014","B","C","4",3000,"B003","G","Y","S133","C",0,49000,5,16.75,1211,"4",0,30,8,90,30,8,"Friday",74.213698630137
"APPV90490424349","Male","C10103","C","A","4",3000,"B001","P","Y","S133","B",4.8,20000,4,15.5,562,"7",0,3,12,87,3,12,"Friday",71.4712328767123
"APPW70978579408","Male","C10001","A","A","4",3000,"B020","G","Y","S143","F",0,45000,5,24,1295,"4",0,21,3,83,21,3,"Friday",66.7643835616438
"APPB10354405921","Male","C10019","B","A","1",2000,"B003","G","Y","S133","F",0,29000,5,16.75,717,"4",0,8,6,93,8,6,"Friday",76.9890410958904
"APPC50368689037","Male","C10006","A","A","4",20000,"","","Y","S133","E",600,20000,5,15.5,481,"10",0,13,12,75,13,12,"Friday",59.4904109589041
"APPF10724337326","Female","C10094","C","A","4",2000,"B003","G","Y","S133","B",500,26000,5,20,689,"4",0,2,4,95,2,4,"Friday",78.8054794520548
"APPJ60753287728","Male","C10006","A","C","4",19850,"","","Y","S122","E",600,20000,5,15.5,481,"10",0,13,12,75,13,12,"Friday",59.4904109589041
"APPL50999089944","Female","C10013","B","A","4",3300,"B004","P","Y","S143","C",0,51000,5,24,1467,"10",0,30,12,86,30,12,"Friday",70.5452054794521
"APPM10994445001","Female","C10002","A","C","4",2100,"B047","P","Y","S159","C",0,33000,5,15.75,798,"4",0,6,7,61,6,7,"Friday",45.0438356164384
"APPO20716263239","Male","C10003","A","B","4",3000,"B006","P","Y","S122","B",0,30000,3,16.75,1066,"7",0,20,6,92,20,6,"Friday",76.0219178082192
"APPR40132419544","Male","C10033","C","C","4",3600,"B002","P","Y","S159","C",0,63000,5,23.5,1794,"7",0,4,8,83,4,8,"Friday",67.1369863013699
"APPS60177124629","Male","C10020","A","B","4",4150,"B004","P","Y","S133","F",0,68000,5,14.85,1612,"7",0,20,1,81,20,1,"Friday",64.6
"APPT70168438747","Male","C10005","A","C","1",1900,"B002","P","Y","S133","B",0,30000,3,13.49,1018,"2",0,10,6,86,10,6,"Friday",69.9890410958904
"APPX20457208148","Male","C10013","B","A","4",3500,"B039","G","Y","S151","B",0,50000,5,14.85,1186,"10",0,12,5,89,12,5,"Friday",72.9123287671233
"APPY70529177201","Male","C10015","C","A","4",6500,"B001","P","Y","S134","C",0,112000,5,23.5,3190,"7",0,19,4,76,19,4,"Friday",59.841095890411
"APPZ20073517315","Male","C10006","A","A","4",2050,"B007","G","Y","S133","C",0,30000,5,20,795,"4",0,20,4,95,20,4,"Friday",78.8547945205479
"APPD40158151749","Female","C10003","A","A","1",2800,"","","Y","S133","E",0,15000,2,19,756,"7",0,8,8,89,8,8,"Friday",73.1534246575342
"APPI50733559201","Male","C10023","B","A","1",4000,"B003","G","Y","S133","C",0,64000,5,16.5,1573,"4",0,23,1,90,23,1,"Friday",73.613698630137
"APPJ20521672338","Male","C10008","A","C","4",1900,"B002","P","Y","S133","C",0,44000,5,15,1047,"2",0,22,10,91,22,10,"Friday",75.358904109589
"APPM30460849621","Male","C10010","A","B","4",1900,"B004","P","Y","S133","C",0,43000,5,20,1139,"2",0,25,1,89,25,1,"Friday",72.6191780821918
"APPN30304616702","Male","C10033","C","B","4",3250,"B003","G","Y","S134","B",0,20000,3,15.75,701,"7",0,19,11,90,19,11,"Friday",74.4356164383562
"APPR20918212119","Male","C10013","B","C","4",12500,"B003","G","Y","S133","B",3100,70000,5,14,1629,"10",0,1,11,69,1,11,"Friday",53.372602739726
"APPU50751234449","Female","C10006","A","A","4",2000,"B015","P","Y","S133","B",0,20000,3,32.5,877,"4",0,20,4,87,20,4,"Friday",70.8493150684932
"APPE20040711415","Male","C10003","A","B","4",20000,"B002","P","Y","S133","B",0,50000,2,14.85,2421,"10",0,25,11,81,25,11,"Friday",65.4465753424657
"APPH40666923728","Male","C10010","A","B","4",3750,"B001","P","Y","S143","B",1065.3,20000,3,14.75,691,"10",0,23,6,86,23,6,"Friday",70.0246575342466
"APPJ10292946942","Female","C10003","A","C","1",2500,"B005","P","Y","S143","B",0,30000,5,13,683,"10",0,24,8,89,24,8,"Friday",73.1972602739726
"APPK30917661002","Male","C10054","C","C","4",2200,"B004","P","Y","S133","B",0,30000,3,18.25,1088,"4",0,7,11,86,7,11,"Friday",70.4
"APPR10125343734","Male","C10064","C","A","4",2200,"","","Y","S151","B",500,30000,5,20,795,"4",0,4,12,82,4,12,"Friday",66.4712328767123
"APPW40253643202","Male","C10001","A","C","4",2850,"B001","P","Y","S143","B",0,50000,5,16.75,1236,"7",0,3,2,86,3,2,"Friday",69.641095890411
"APPA30853249612","Male","C10004","A","B","1",3000,"B026","P","Y","S122","B",0,10000,3,19.75,370,"10",0,14,10,86,14,10,"Friday",70.3342465753425
"APPD50228808905","Female","C10015","C","A","4",3000,"B018","G","Y","S133","E",0,40000,4,16.5,1144,"7",0,5,3,76,5,3,"Friday",59.7178082191781
"APPE40527889011","Male","C10002","A","A","4",2800,"B004","P","Y","S133","C",0,42000,5,20,1113,"4",0,30,8,87,30,8,"Friday",71.2109589041096
"APPF50653299125","Male","C10042","C","C","4",3400,"B003","G","Y","S133","B",490,35000,5,16.75,865,"7",0,11,10,81,11,10,"Friday",65.3232876712329
"APPG40716716238","Male","C10016","B","B","4",1750,"B030","P","Y","S133","C",0,39000,5,20,1033,"2",0,8,8,87,8,8,"Friday",71.1506849315068
"APPI10427474413","Female","C10005","A","B","2",3500,"B001","P","Y","S133","C",0,59000,5,13,1342,"7",0,18,8,89,18,8,"Friday",73.1808219178082
"APPL40691842741","Male","C10018","C","C","4",2340,"B007","G","Y","S159","C",0,34000,5,20,901,"4",0,24,5,88,24,5,"Friday",71.9452054794521
"APPS80680243448","Female","C10004","A","C","4",4400,"B004","P","Y","S133","C",0,72000,5,14.85,1707,"7",0,16,11,81,16,11,"Friday",65.4219178082192
"APPW30972821801","Male","C10013","B","C","4",1520,"B004","P","Y","S133","C",0,35000,5,18.5,898,"2",0,25,7,87,25,7,"Friday",71.1123287671233
"APPB80613597315","Male","C10025","A","B","4",4000,"B002","P","Y","S159","B",0,10000,1,18,917,"10",0,3,9,91,3,9,"Friday",75.2246575342466
"APPD10840399502","Male","C10014","B","C","4",5000,"B002","P","Y","S133","F",0,82000,5,13.99,1908,"4",0,2,3,78,2,3,"Friday",61.7095890410959
"APPE50913194626","Male","C10107","C","A","4",2500,"B003","G","Y","S133","B",810,30000,5,20,795,"7",0,25,7,81,25,7,"Friday",65.1095890410959
"APPG40611549819","Female","C10002","A","B","4",3200,"B001","P","Y","S133","F",0,49000,5,20,1298,"4",0,21,10,91,21,10,"Friday",75.3561643835616
"APPI40047064031","Male","C10003","A","A","1",2700,"B002","P","Y","S159","C",0,40000,5,19,1038,"4",0,2,10,87,2,10,"Friday",71.3013698630137
"APPN40205505508","Male","C10001","A","A","4",3500,"B001","P","Y","S133","E",1200,33000,3,20,1226,"7",0,10,2,95,10,2,"Friday",78.6657534246575
"APPQ50733109846","Male","C10573","C","A","4",2000,"","","Y","S133","B",400,30000,5,20,795,"4",0,14,3,88,14,3,"Friday",71.7506849315069
"APPS30513638027","Male","C10005","A","C","4",2500,"B001","P","Y","S133","E",600,22000,4,20,669,"7",0,7,8,87,7,8,"Friday",71.1479452054794
"APPT70403088133","Male","C10007","A","C","4",2500,"B021","P","Y","S122","B",0,10000,3,20,372,"7",0,21,10,82,21,10,"Friday",66.3506849315068
"APPU90973124248","Male","C10022","B","C","4",6200,"B003","G","Y","S159","C",0,107000,5,14.85,2537,"4",0,3,3,71,3,3,"Friday",54.7068493150685
"APPY90617088607","Male","C10027","A","C","1",4000,"B002","P","Y","S133","E",0,30000,5,16.75,742,"7",0,5,2,84,5,2,"Friday",67.6438356164384
"APPZ20451012714","Male","C10645","C","A","4",2850,"B003","G","Y","S133","B",900,30000,4,20,913,"7",0,10,10,87,10,10,"Friday",71.3232876712329
"APPC20132569024","Male","C10001","A","B","4",1720,"B001","P","Y","S159","B",500,10000,5,18.5,257,"2",0,9,2,92,9,2,"Friday",75.6602739726027
"APPD60483989133","Male","C10001","A","A","4",2500,"B045","G","Y","S133","C",0,36000,5,19,934,"4",0,2,1,74,2,1,"Friday",57.5452054794521
"APPN60865786116","Male","C10003","A","B","4",3000,"B002","P","Y","S159","B",0,52000,5,15.75,1258,"7",0,15,8,77,15,8,"Friday",61.1643835616438
"APPQ20574692449","Male","C10066","C","A","4",3000,"B004","P","Y","S133","B",380,50000,5,20,1325,"7",0,27,1,84,27,1,"Friday",67.6191780821918
"APPX30116671136","Male","C10002","A","B","4",2800,"B002","P","Y","S159","C",0,42000,5,18.25,1072,"4",0,15,8,94,15,8,"Friday",78.1753424657534
"APPG20394774023","Male","C10001","A","A","4",2150,"B020","G","Y","S122","C",0,31000,5,20,821,"4",0,3,3,78,3,3,"Friday",61.7123287671233
"APPH60560787142","Male","C10034","C","C","4",4500,"B002","P","Y","S133","E",713.7,50000,5,14.99,1189,"10",0,1,9,77,1,9,"Friday",61.2109589041096
"APPJ60882126338","Male","C10001","A","C","1",5000,"B001","P","Y","S133","B",0,50000,5,14.85,1186,"10",0,23,11,87,23,11,"Friday",71.4438356164383
"APPK50009084401","Male","C10003","A","B","4",1800,"B003","G","Y","S133","C",0,40000,5,20,1060,"2",0,10,5,92,10,5,"Friday",75.9095890410959
"APPN90058253748","Male","C10007","A","A","4",1500,"","","Y","S133","E",0,20000,3,20,743,"2",0,14,7,66,14,7,"Friday",50.0684931506849
"APPO70822189809","Male","C10007","A","A","4",2800,"B003","G","Y","S159","C",0,42000,5,16.75,1038,"7",0,2,9,94,2,9,"Friday",78.2246575342466
"APPW70430227631","Male","C10003","A","B","4",1800,"B002","P","Y","S122","C",0,40000,5,20,1060,"2",0,10,6,84,10,6,"Friday",67.9890410958904
"APPD70158581309","Male","C10013","B","A","4",3830,"B003","G","Y","S159","C",0,62000,5,14.85,1470,"7",0,19,11,77,19,11,"Friday",61.427397260274
"APPG70351847649","Male","C10013","B","A","4",3655,"B020","G","Y","S133","C",0,50000,4,18,1469,"10",0,23,5,88,23,5,"Tuesday",71.9123287671233
"APPO10057578431","Male","C10002","A","C","2",2370,"B004","P","Y","S159","C",0,37000,5,18.25,945,"4",0,10,8,90,10,8,"Friday",74.158904109589
"APPS40250536833","Male","C10013","B","B","4",2500,"B001","P","Y","S122","B",1000,20000,5,20,530,"7",0,3,6,90,3,6,"Friday",73.972602739726
"APPZ40950785508","Male","C10012","A","B","4",2100,"B002","P","Y","S127","C",0,30000,5,24,863,"4",0,30,9,63,30,9,"Friday",47.2794520547945
"APPE60053125039","Male","C10004","A","A","4",6700,"B003","G","Y","S133","B",0,30000,3,14.85,1038,"10",0,23,10,85,23,10,"Friday",69.358904109589
"APPJ80645273507","Male","C10013","B","A","3",3000,"B001","P","Y","S133","F",0,45000,5,20,1192,"4",0,9,1,81,9,1,"Friday",64.5698630136986
"APPK50221151601","Male","C10001","A","A","4",2510.1,"B004","P","Y","S122","B",133,50000,5,20,1325,"7",0,31,8,68,31,8,"Friday",52.2027397260274
"APPL10644771711","Male","C10010","A","A","4",2195,"B002","P","Y","S159","B",0,30000,5,20,795,"4",0,17,4,90,17,4,"Friday",73.8438356164384
"APPQ10694194227","Male","C10340","C","A","4",2500,"","","Y","S133","B",0,50000,5,20,1325,"7",0,31,8,70,31,8,"Friday",54.2027397260274
"APPW60081595802","Male","C10002","A","A","4",3550,"B016","G","Y","S159","C",0,57000,5,18,1447,"4",0,1,8,70,1,8,"Friday",54.1205479452055
"APPY40915074048","Male","C10001","A","A","4",8260,"B003","G","Y","S122","B",0,1e+05,5,15.99,2431,"10",0,3,3,57,3,3,"Friday",40.6986301369863
"APPD70586195522","Male","C10013","B","A","4",3500,"","","Y","S133","C",0,54000,5,13.99,1256,"7",0,27,1,87,27,1,"Friday",70.6219178082192
"APPF50271409707","Male","C10008","A","A","5",3400,"B001","P","Y","S133","E",0,30000,5,15.75,726,"7",0,13,11,80,13,11,"Friday",64.413698630137
"APPG10823716818","Male","C10007","A","B","4",1700,"B001","P","Y","S133","B",300,20000,4,18.5,593,"2",0,29,11,85,29,11,"Friday",69.4602739726027
"APPO80095448615","Male","C10148","C","A","4",2200,"B003","G","Y","S133","B",500,20000,3,20,743,"4",0,29,5,88,29,5,"Friday",71.958904109589
"APPP90221254742","Male","C10003","A","A","4",1820,"B004","P","Y","S133","F",0,41000,5,20,1086,"2",0,6,5,90,6,5,"Friday",73.8958904109589
"APPQ90098119808","Male","C10006","A","C","4",2086,"B044","P","Y","S133","C",0,30000,5,18.25,766,"4",0,31,7,83,31,7,"Friday",67.1260273972603
"APPY60964147626","Male","C10109","C","A","4",1500,"B003","G","Y","S133","B",500,10000,4,20,304,"2",0,20,8,93,20,8,"Friday",77.1890410958904
"APPA80955853849","Male","C10044","C","C","3",1760,"B004","P","Y","S122","E",0,20000,4,18.5,593,"2",0,29,4,89,29,4,"Friday",72.8767123287671
"APPH60925353507","Male","C10050","C","A","4",5000,"B003","G","Y","S122","B",0,1e+05,5,13.5,2301,"10",0,5,8,85,5,8,"Friday",69.1424657534247
"APPI80684274615","Male","C10015","C","A","1",3700,"B003","G","Y","S133","C",0,59000,5,15.5,1419,"4",0,10,1,90,10,1,"Friday",73.5780821917808
"APPO80998386247","Male","C10251","C","A","4",3500,"B003","G","Y","S159","B",0,92000,5,20,2437,"7",0,3,3,61,3,3,"Friday",44.7013698630137
"APPS70597111635","Male","C10060","C","C","4",10000,"B002","P","Y","S133","E",200,10000,5,16,243,"10",0,28,12,90,28,12,"Friday",74.5424657534247
"APPU80211625817","Male","C10021","B","A","4",5000,"B003","G","Y","S133","C",0,82000,5,18,2082,"10",0,14,5,86,14,5,"Friday",69.9150684931507
"APPE60618843839","Male","C10002","A","A","4",3000,"B002","P","Y","S143","B",0,20000,2,19,1008,"7",0,19,6,87,19,6,"Friday",71.013698630137
"APPG80197929003","Male","C10005","A","C","4",3000,"B002","P","Y","S133","C",0,45000,5,16.75,1112,"7",0,1,11,85,1,11,"Friday",69.3835616438356
"APPH20170263125","Male","C10009","B","C","4",8500,"B001","P","Y","S133","E",0,150000,5,13.25,3432,"10",0,4,8,83,4,8,"Friday",67.1369863013699
"APPJ80153867304","Male","C10025","A","B","4",3500,"B016","G","Y","S159","C",0,54000,5,20,1431,"4",0,27,12,74,27,12,"Friday",58.5287671232877
"APPL40423796522","Male","C10004","A","A","4",20000,"B020","G","Y","S133","B",0,20000,5,17.5,502,"10",0,2,7,83,2,7,"Friday",67.0465753424658
"APPM40912502634","Male","C10005","A","B","4",3000,"B004","P","Y","S133","B",0,42000,3,17,1497,"7",0,25,3,77,25,3,"Friday",60.772602739726
"APPN90609378746","Male","C10004","A","A","4",2880,"B003","G","Y","S133","B",0,50000,4,16.25,1423,"7",0,17,6,69,17,6,"Friday",52.9972602739726
"APPO90238692812","Male","C10003","A","A","4",5000,"B003","G","Y","S133","E",950,30000,5,14.85,711,"10",0,1,11,75,1,11,"Friday",59.3753424657534
"APPR50315971134","Male","C10005","A","A","4",2700,"B003","G","Y","S143","C",0,40000,5,16.5,983,"4",0,19,9,82,19,9,"Friday",66.2630136986301
"APPV80721045517","Male","C10005","A","C","1",1740,"B001","P","Y","S159","C",0,40000,5,13.5,920,"2",0,16,6,89,16,6,"Friday",73.0082191780822
"APPA30163156004","Male","C10005","A","B","4",3000,"B004","P","Y","S133","B",0,30000,4,19.75,909,"7",0,25,3,77,25,3,"Friday",60.772602739726
"APPB90050869124","Male","C10420","C","A","4",2700,"","","Y","S133","B",0,20000,5,16.5,492,"7",1,16,1,81,16,1,"Friday",64.5890410958904
"APPD80986502304","Female","C10001","A","B","4",2750,"B003","G","Y","S133","E",0,30000,5,24,863,"7",0,16,2,92,16,2,"Friday",75.6794520547945
"APPE80714695421","Male","C10012","A","A","4",3000,"B013","G","Y","S133","C",0,45000,5,15.5,1082,"4",0,28,1,61,28,1,"Friday",44.6082191780822
"APPK40450851042","Male","C10001","A","B","4",2000,"B006","P","Y","S133","B",0,10000,2,18.25,500,"4",0,1,9,92,1,9,"Friday",76.2219178082192
"APPN80203515327","Male","C10014","B","A","4",1800,"B003","G","Y","S127","B",0,10000,3,20,372,"2",0,24,11,84,24,11,"Friday",68.4465753424657
"APPV40666654102","Male","C10003","A","A","4",8000,"","","Y","S133","E",200,8000,5,20,212,"10",0,19,8,85,19,8,"Friday",69.1808219178082
"APPC80661741844","Male","C10002","A","B","4",3996.3,"B004","P","Y","S143","C",0,57000,4,15,1586,"7",0,20,9,89,20,9,"Friday",73.2712328767123
"APPE90516516016","Male","C10001","A","C","3",2200,"B002","P","Y","S133","E",120,20000,3,16.75,711,"4",0,22,5,93,22,5,"Friday",76.9424657534247
"APPG30039306212","Male","C10001","A","B","4",2016.5,"B014","P","Y","S143","B",0,20000,3,18.25,726,"4",0,4,1,93,4,1,"Friday",76.5643835616438
"APPK70485028616","Female","C10005","A","A","4",2700,"B023","G","Y","S133","C",0,31000,3,15.5,1082,"4",0,21,6,85,21,6,"Friday",69.0191780821918
